,date_scraped,symbol,name,price,change,change_perc,market_cap,vol_utc,vol_24,total_vol,circ_supply
0,2022-11-05 10:30:16,BTC-USD,Bitcoin USD,"21,362.67","+1,076.72",+5.31%,410.132B,65.939B,65.939B,65.939B,19.199M
1,2022-11-05 10:30:18,ETH-USD,Ethereum USD,"1,651.96",+111.04,+7.21%,202.157B,21.407B,21.407B,21.407B,122.374M
2,2022-11-05 10:30:19,USDT-USD,Tether USD,1.0001,+0.0001,+0.01%,69.369B,90.527B,90.527B,90.527B,69.361B
3,2022-11-05 10:30:19,BNB-USD,BNB USD,354.53,+18.82,+5.61%,56.717B,1.844B,1.844B,1.844B,159.977M
4,2022-11-05 10:30:19,USDC-USD,USD Coin USD,1.0001,+0.0000,+0.00%,42.112B,4.33B,4.33B,4.33B,42.108B
5,2022-11-05 10:30:19,XRP-USD,XRP USD,0.499911,+0.044955,+9.88%,25.103B,2.881B,2.881B,2.881B,50.215B
6,2022-11-05 10:30:19,BUSD-USD,Binance USD USD,0.999967,-0.000417,-0.04%,21.658B,10.461B,10.461B,10.461B,21.659B
7,2022-11-05 10:30:19,DOGE-USD,Dogecoin USD,0.124382,+0.004931,+4.13%,16.502B,2.641B,2.641B,2.641B,132.671B
8,2022-11-05 10:30:20,ADA-USD,Cardano USD,0.429519,+0.027870,+6.94%,14.748B,938.753M,938.753M,938.753M,34.337B
9,2022-11-05 10:30:20,SOL-USD,Solana USD,34.79,+3.55,+11.35%,12.491B,1.512B,1.512B,1.512B,359.08M
10,2022-11-05 10:30:20,MATIC-USD,Polygon USD,1.1962,+0.1569,+15.09%,10.448B,2.37B,2.37B,2.37B,8.734B
11,2022-11-05 10:30:20,DOT-USD,Polkadot USD,7.1555,+0.6235,+9.55%,8.11B,599.392M,599.392M,599.392M,1.133B
12,2022-11-05 10:30:20,HEX-USD,HEX USD,0.042079,+0.002765,+7.03%,7.297B,7.365M,7.365M,7.365M,173.411B
13,2022-11-05 10:30:20,SHIB-USD,Shiba Inu USD,0.000013,+0.000001,+6.64%,6.895B,734.785M,734.785M,734.785M,549.063T
14,2022-11-05 10:30:21,WTRX-USD,Wrapped TRON USD,0.064282,+0.002537,+4.11%,6.536B,1.041M,1.041M,1.041M,101.676B
15,2022-11-05 10:30:21,DAI-USD,Dai USD,0.999911,-0.000245,-0.02%,6.151B,356.092M,356.092M,356.092M,6.151B
16,2022-11-05 10:30:21,TRX-USD,TRON USD,0.064514,+0.002772,+4.49%,5.951B,380.466M,380.466M,380.466M,92.242B
17,2022-11-05 10:30:21,AVAX-USD,Avalanche USD,19.72,+1.61,+8.90%,5.897B,389.314M,389.314M,389.314M,299.025M
18,2022-11-05 10:30:21,UNI7083-USD,Uniswap USD,7.6644,+0.6844,+9.81%,5.842B,284.046M,284.046M,284.046M,762.209M
19,2022-11-05 10:30:21,STETH-USD,Lido Staked ETH USD,"1,652.13",+111.80,+7.26%,5.762B,2.465M,2.465M,2.465M,3.488M
20,2022-11-05 10:30:22,WBTC-USD,Wrapped Bitcoin USD,"21,355.97","+1,070.04",+5.27%,5.242B,156.838M,156.838M,156.838M,"245,479"
21,2022-11-05 10:30:22,LTC-USD,Litecoin USD,68.35,+6.11,+9.81%,4.89B,2.235B,2.235B,2.235B,71.541M
22,2022-11-05 10:30:22,ATOM-USD,Cosmos USD,15.27,+1.48,+10.74%,4.374B,497.399M,497.399M,497.399M,286.37M
23,2022-11-05 10:30:22,LINK-USD,Chainlink USD,8.7348,+0.8386,+10.62%,4.294B,908.574M,908.574M,908.574M,491.6M
24,2022-11-05 10:30:22,LEO-USD,UNUS SED LEO USD,4.3262,-0.4057,-8.57%,4.127B,3.347M,3.347M,3.347M,953.954M
25,2022-11-05 10:30:22,ETC-USD,Ethereum Classic USD,26.00,+0.96,+3.84%,3.582B,509.073M,509.073M,509.073M,137.767M
26,2022-11-05 10:30:23,FTT-USD,FTX Token USD,25.68,+1.24,+5.08%,3.416B,121.925M,121.925M,121.925M,133.026M
27,2022-11-05 10:30:23,CRO-USD,Cronos USD,0.118399,+0.007449,+6.71%,2.991B,41.934M,41.934M,41.934M,25.263B
28,2022-11-05 10:30:23,ALGO-USD,Algorand USD,0.419809,+0.049629,+13.41%,2.975B,412.613M,412.613M,412.613M,7.087B
29,2022-11-05 10:30:23,XLM-USD,Stellar USD,0.115315,+0.006098,+5.58%,2.958B,163.811M,163.811M,163.811M,25.652B
30,2022-11-05 10:30:23,XMR-USD,Monero USD,159.28,+9.32,+6.21%,2.898B,92.402M,92.402M,92.402M,18.196M
31,2022-11-05 10:30:24,NEAR-USD,NEAR Protocol USD,3.3736,+0.2911,+9.44%,2.764B,351.352M,351.352M,351.352M,819.191M
32,2022-11-05 10:30:24,BCH-USD,Bitcoin Cash USD,124.49,+6.51,+5.52%,2.393B,670.622M,670.622M,670.622M,19.22M
33,2022-11-05 10:30:24,BTCB-USD,Bitcoin BEP2 USD,"21,320.89","+1,037.94",+5.12%,2.245B,4.574M,4.574M,4.574M,"105,290"
34,2022-11-05 10:30:24,QNT-USD,Quant USD,167.20,+9.74,+6.18%,2.019B,75.829M,75.829M,75.829M,12.073M
35,2022-11-05 10:30:24,TON11419-USD,Toncoin USD,1.6318,+0.0262,+1.63%,1.993B,12.718M,12.718M,12.718M,1.221B
