,date_scraped,symbol,name,price,change,change_perc,market_cap,vol_utc,vol_24,total_vol,circ_supply
0,2022-10-18 09:47:31,BTC-USD,Bitcoin USD,"19,545.07",+328.56,+1.71%,374.917B,27.589B,27.589B,27.589B,19.182M
1,2022-10-18 09:47:33,ETH-USD,Ethereum USD,"1,333.15",+29.53,+2.27%,163.142B,9.521B,9.521B,9.521B,122.374M
2,2022-10-18 09:47:33,USDT-USD,Tether USD,1.0001,-0.0000,-0.00%,68.447B,36.968B,36.968B,36.968B,68.443B
3,2022-10-18 09:47:33,USDC-USD,USD Coin USD,0.999966,+0.000084,+0.01%,44.753B,2.959B,2.959B,2.959B,44.755B
4,2022-10-18 09:47:33,BNB-USD,BNB USD,274.63,+2.86,+1.05%,44.309B,598.373M,598.373M,598.373M,161.337M
5,2022-10-18 09:47:34,XRP-USD,XRP USD,0.475171,+0.003156,+0.67%,23.705B,1.518B,1.518B,1.518B,49.887B
6,2022-10-18 09:47:34,BUSD-USD,Binance USD USD,0.999899,-0.000727,-0.07%,21.626B,6.557B,6.557B,6.557B,21.628B
7,2022-10-18 09:47:34,ADA-USD,Cardano USD,0.368889,+0.000372,+0.10%,12.65B,376.032M,376.032M,376.032M,34.292B
8,2022-10-18 09:47:34,SOL-USD,Solana USD,31.20,+1.20,+3.99%,11.169B,661.484M,661.484M,661.484M,357.984M
9,2022-10-18 09:47:34,DOGE-USD,Dogecoin USD,0.059703,+0.000921,+1.57%,7.921B,177.551M,177.551M,177.551M,132.671B
10,2022-10-18 09:47:34,MATIC-USD,Polygon USD,0.862696,+0.058956,+7.34%,7.535B,385.735M,385.735M,385.735M,8.734B
11,2022-10-18 09:47:35,DOT-USD,Polkadot USD,6.2382,+0.0643,+1.04%,7.033B,177.951M,177.951M,177.951M,1.127B
12,2022-10-18 09:47:35,DAI-USD,Dai USD,0.999368,-0.000325,-0.03%,6.455B,313.117M,313.117M,313.117M,6.459B
13,2022-10-18 09:47:35,WTRX-USD,Wrapped TRON USD,0.062523,+0.000688,+1.11%,6.357B,1.254M,1.254M,1.254M,101.676B
14,2022-10-18 09:47:35,TRX-USD,TRON USD,0.062534,+0.000548,+0.88%,5.772B,357.824M,357.824M,357.824M,92.308B
15,2022-10-18 09:47:35,SHIB-USD,Shiba Inu USD,0.000010,+0.000000,+0.99%,5.693B,121.257M,121.257M,121.257M,549.063T
16,2022-10-18 09:47:35,HEX-USD,HEX USD,0.032436,+0.000827,+2.62%,5.625B,3.991M,3.991M,3.991M,173.411B
17,2022-10-18 09:47:36,UNI1-USD,Uniswap USD,6.4318,-0.1717,-2.60%,4.902B,79.029M,79.029M,79.029M,762.209M
18,2022-10-18 09:47:36,UNI7083-USD,Uniswap USD,6.3279,+0.2463,+4.05%,4.823B,91.606M,91.606M,91.606M,762.209M
19,2022-10-18 09:47:36,AVAX-USD,Avalanche USD,16.16,+0.42,+2.66%,4.79B,177.214M,177.214M,177.214M,296.406M
20,2022-10-18 09:47:36,WBTC-USD,Wrapped Bitcoin USD,"19,540.22",+320.41,+1.67%,4.781B,126.639M,126.639M,126.639M,"244,655"
21,2022-10-18 09:47:36,STETH-USD,Lido Staked ETH USD,"1,325.92",+31.02,+2.40%,4.624B,2.751M,2.751M,2.751M,3.488M
22,2022-10-18 09:47:37,YOUC-USD,yOUcash USD,0.512136,-0.000007,-0.00%,4.413B,"532,757","532,757","532,757",8.617B
23,2022-10-18 09:47:37,LEO-USD,UNUS SED LEO USD,4.5185,+0.0282,+0.63%,4.31B,2.807M,2.807M,2.807M,953.954M
