,date_scraped,symbol,name,price,change,change_perc,market_cap,vol_utc,vol_24,total_vol,circ_supply
0,2022-10-12 22:39:46,BTC-USD,Bitcoin USD,"19,106.70",+79.27,+0.42%,366.413B,27.548B,27.548B,27.548B,19.177M
1,2022-10-12 22:39:46,ETH-USD,Ethereum USD,"1,296.96",+15.98,+1.25%,159.22B,8.648B,8.648B,8.648B,122.764M
2,2022-10-12 22:39:47,USDT-USD,Tether USD,1.0000,+0.0001,+0.01%,68.422B,35.806B,35.806B,35.806B,68.422B
3,2022-10-12 22:39:47,USDC-USD,USD Coin USD,0.999926,-0.000177,-0.02%,45.887B,3.224B,3.224B,3.224B,45.891B
4,2022-10-12 22:39:47,BNB-USD,BNB USD,270.44,-1.01,-0.37%,43.631B,562.889M,562.889M,562.889M,161.337M
5,2022-10-12 22:39:47,XRP-USD,XRP USD,0.488876,-0.003769,-0.77%,24.426B,1.688B,1.688B,1.688B,49.964B
6,2022-10-12 22:39:47,BUSD-USD,Binance USD USD,1.0000,-0.0004,-0.04%,21.628B,5.854B,5.854B,5.854B,21.628B
7,2022-10-12 22:39:48,ADA-USD,Cardano USD,0.390975,-0.005617,-1.42%,13.402B,430.372M,430.372M,430.372M,34.279B
8,2022-10-12 22:39:48,SOL-USD,Solana USD,31.11,-0.19,-0.59%,11.119B,651.326M,651.326M,651.326M,357.458M
9,2022-10-12 22:39:48,DOGE-USD,Dogecoin USD,0.059774,-0.000018,-0.03%,7.93B,226.727M,226.727M,226.727M,132.671B
10,2022-10-12 22:39:48,DOT-USD,Polkadot USD,6.1898,+0.0047,+0.08%,6.965B,155.296M,155.296M,155.296M,1.125B
11,2022-10-12 22:39:48,MATIC-USD,Polygon USD,0.791878,-0.003191,-0.40%,6.917B,207.88M,207.88M,207.88M,8.734B
12,2022-10-12 22:39:49,DAI-USD,Dai USD,0.999506,-0.000337,-0.03%,6.713B,245.162M,245.162M,245.162M,6.716B
13,2022-10-12 22:39:49,WTRX-USD,Wrapped TRON USD,0.062755,+0.001135,+1.84%,6.381B,1.564M,1.564M,1.564M,101.676B
14,2022-10-12 22:39:49,TRX-USD,TRON USD,0.062693,+0.001115,+1.81%,5.788B,481.495M,481.495M,481.495M,92.323B
15,2022-10-12 22:39:49,HEX-USD,HEX USD,0.0324,-0.0002,-0.7567%,5.624B,3.127M,3.127M,3.127M,173.411B
16,2022-10-12 22:39:50,SHIB-USD,Shiba Inu USD,0.0000,-0.0000,-0.5626%,5.607B,134.795M,134.795M,134.795M,549.063T
17,2022-10-12 22:39:50,UNI1-USD,Uniswap USD,6.4318,-0.1717,-2.60%,4.902B,79.029M,79.029M,79.029M,762.209M
18,2022-10-12 22:39:50,AVAX-USD,Avalanche USD,15.97,-0.02,-0.13%,4.734B,136.609M,136.609M,136.609M,296.335M
19,2022-10-12 22:39:50,WBTC-USD,Wrapped Bitcoin USD,"19,102.28",+73.86,+0.39%,4.671B,90.533M,90.533M,90.533M,"244,506"
20,2022-10-12 22:39:51,UNI7083-USD,Uniswap USD,6.09,0.00,+0.04%,4.638B,82.758M,82.758M,82.758M,762.209M
21,2022-10-12 22:39:51,STETH-USD,Lido Staked ETH USD,"1,288.94",+15.06,+1.18%,4.495B,3.013M,3.013M,3.013M,3.488M
