,date_scraped,symbol,name,price,change,change_perc,market_cap,vol_utc,vol_24,total_vol,circ_supply
0,2022-11-12 09:27:03,BTC-USD,Bitcoin USD,"16,879.93",-750.32,-4.26%,324.177B,54.879B,54.879B,54.879B,19.205M
1,2022-11-12 09:27:05,ETH-USD,Ethereum USD,"1,274.23",-25.93,-1.99%,155.933B,20.421B,20.421B,20.421B,122.374M
2,2022-11-12 09:27:05,USDT-USD,Tether USD,0.998195,+0.000422,+0.04%,67.298B,73.16B,73.16B,73.16B,67.42B
3,2022-11-12 09:27:05,BNB-USD,BNB USD,286.80,-17.74,-5.83%,45.881B,1.574B,1.574B,1.574B,159.975M
4,2022-11-12 09:27:05,USDC-USD,USD Coin USD,1.0006,-0.0001,-0.01%,43.792B,4.113B,4.113B,4.113B,43.768B
5,2022-11-12 09:27:06,BUSD-USD,Binance USD USD,1.0013,+0.0001,+0.01%,23.043B,13.977B,13.977B,13.977B,23.014B
6,2022-11-12 09:27:06,XRP-USD,XRP USD,0.376392,-0.020847,-5.25%,18.901B,1.623B,1.623B,1.623B,50.215B
7,2022-11-12 09:27:06,ADA-USD,Cardano USD,0.348554,-0.023619,-6.35%,11.989B,570.478M,570.478M,570.478M,34.395B
8,2022-11-12 09:27:06,DOGE-USD,Dogecoin USD,0.083309,-0.007762,-8.52%,11.053B,1.193B,1.193B,1.193B,132.671B
9,2022-11-12 09:27:06,MATIC-USD,Polygon USD,1.0296,-0.1008,-8.92%,8.993B,1.312B,1.312B,1.312B,8.734B
10,2022-11-12 09:27:07,DOT-USD,Polkadot USD,5.7370,-0.2314,-3.88%,6.509B,376.648M,376.648M,376.648M,1.135B
11,2022-11-12 09:27:07,HEX-USD,HEX USD,0.033984,-0.000418,-1.21%,5.893B,5.616M,5.616M,5.616M,173.411B
12,2022-11-12 09:27:07,DAI-USD,Dai USD,1.0007,-0.0010,-0.10%,5.866B,473.129M,473.129M,473.129M,5.862B
13,2022-11-12 09:27:07,SOL-USD,Solana USD,16.06,-1.91,-10.62%,5.823B,2.077B,2.077B,2.077B,362.632M
14,2022-11-12 09:27:07,WTRX-USD,Wrapped TRON USD,0.055068,-0.002808,-4.85%,5.599B,4.201M,4.201M,4.201M,101.676B
15,2022-11-12 09:27:07,SHIB-USD,Shiba Inu USD,0.00000980,-0.00000051,-4.97%,5.381B,309.682M,309.682M,309.682M,549.063T
16,2022-11-12 09:27:08,TRX-USD,TRON USD,0.055221,-0.002677,-4.62%,5.092B,611.614M,611.614M,611.614M,92.211B
17,2022-11-12 09:27:08,UNI7083-USD,Uniswap USD,5.9837,+0.1590,+2.73%,4.561B,270.158M,270.158M,270.158M,762.209M
18,2022-11-12 09:27:08,STETH-USD,Lido Staked ETH USD,"1,249.38",-30.75,-2.40%,4.357B,1.387M,1.387M,1.387M,3.488M
19,2022-11-12 09:27:08,LTC-USD,Litecoin USD,60.60,-2.41,-3.82%,4.339B,1.222B,1.222B,1.222B,71.592M
20,2022-11-12 09:27:08,AVAX-USD,Avalanche USD,13.73,-1.61,-10.48%,4.117B,291.088M,291.088M,291.088M,299.935M
21,2022-11-12 09:27:09,WBTC-USD,Wrapped Bitcoin USD,"16,880.46",-719.36,-4.09%,4.018B,234.756M,234.756M,234.756M,"238,013"
22,2022-11-12 09:27:09,LEO-USD,UNUS SED LEO USD,3.8166,-0.1820,-4.55%,3.641B,2.922M,2.922M,2.922M,953.954M
23,2022-11-12 09:27:09,LINK-USD,Chainlink USD,6.9167,-0.3774,-5.17%,3.4B,523.237M,523.237M,523.237M,491.6M
24,2022-11-12 09:27:09,ATOM-USD,Cosmos USD,11.45,-0.86,-6.99%,3.278B,257.222M,257.222M,257.222M,286.37M
25,2022-11-12 09:27:09,ETC-USD,Ethereum Classic USD,21.22,-0.83,-3.77%,2.926B,392.804M,392.804M,392.804M,137.851M
26,2022-11-12 09:27:10,XLM-USD,Stellar USD,0.093981,-0.003982,-4.07%,2.411B,112.351M,112.351M,112.351M,25.656B
27,2022-11-12 09:27:10,XMR-USD,Monero USD,127.55,-6.64,-4.95%,2.321B,112.99M,112.99M,112.99M,18.199M
28,2022-11-12 09:27:10,CRO-USD,Cronos USD,0.084756,-0.012655,-12.99%,2.141B,67.501M,67.501M,67.501M,25.263B
29,2022-11-12 09:27:10,ALGO-USD,Algorand USD,0.292841,-0.033054,-10.14%,2.078B,239.961M,239.961M,239.961M,7.095B
30,2022-11-12 09:27:11,BCH-USD,Bitcoin Cash USD,101.55,-2.35,-2.26%,1.952B,283.731M,283.731M,283.731M,19.226M
31,2022-11-12 09:27:11,TON11419-USD,Toncoin USD,1.5417,-0.0519,-3.26%,1.883B,8.451M,8.451M,8.451M,1.221B
32,2022-11-12 09:27:11,BTCB-USD,Bitcoin BEP2 USD,"16,874.08",-728.24,-4.14%,1.779B,16.9M,16.9M,16.9M,"105,422"
33,2022-11-12 09:27:11,NEAR-USD,NEAR Protocol USD,2.0726,-0.2330,-10.11%,1.702B,208.554M,208.554M,208.554M,821.335M
34,2022-11-12 09:27:11,VET-USD,VeChain USD,0.021032,-0.001283,-5.75%,1.525B,77.313M,77.313M,77.313M,72.511B
35,2022-11-12 09:27:12,FIL-USD,Filecoin USD,4.4090,-0.2447,-5.26%,1.404B,156.614M,156.614M,156.614M,318.484M
36,2022-11-12 09:27:12,QNT-USD,Quant USD,114.29,-10.12,-8.13%,1.38B,79.458M,79.458M,79.458M,12.073M
37,2022-11-12 09:27:12,CHZ-USD,Chiliz USD,0.220556,-0.008509,-3.71%,1.325B,1.213B,1.213B,1.213B,6.007B
38,2022-11-12 09:27:12,FLOW-USD,Flow USD,1.2680,-0.0866,-6.39%,1.314B,47.228M,47.228M,47.228M,1.036B
39,2022-11-12 09:27:12,LUNC-USD,Terra Classic USD,0.000186,-0.000012,-5.88%,1.225B,199.81M,199.81M,199.81M,6.593T
40,2022-11-12 09:27:13,FRAX-USD,Frax USD,0.986622,-0.006439,-0.65%,1.206B,3.64M,3.64M,3.64M,1.222B
41,2022-11-12 09:27:13,OKB-USD,OKB USD,19.36,-0.99,-4.84%,1.162B,23.889M,23.889M,23.889M,60M
42,2022-11-12 09:27:13,HBAR-USD,Hedera USD,0.047653,-0.002642,-5.25%,1.095B,31.288M,31.288M,31.288M,22.968B
43,2022-11-12 09:27:13,WBNB-USD,Wrapped BNB USD,286.43,-17.49,-5.75%,1.081B,170.028M,170.028M,170.028M,3.774M
44,2022-11-12 09:27:13,ICP-USD,Internet Computer USD,3.9468,-0.4136,-9.49%,1.078B,58.785M,58.785M,58.785M,273.028M
45,2022-11-12 09:27:14,EGLD-USD,MultiversX (Elrond) USD,45.30,-2.78,-5.78%,1.073B,34.428M,34.428M,34.428M,23.678M
46,2022-11-12 09:27:14,XCN18679-USD,Chain USD,0.049244,+0.001959,+4.14%,1.057B,60.381M,60.381M,60.381M,21.473B
47,2022-11-12 09:27:14,XTZ-USD,Tezos USD,1.0567,-0.0895,-7.81%,967.838M,27.869M,27.869M,27.869M,915.941M
48,2022-11-12 09:27:14,APE18876-USD,ApeCoin USD,3.1206,-0.3619,-10.39%,957.624M,271.407M,271.407M,271.407M,306.875M
49,2022-11-12 09:27:15,USDP-USD,Pax Dollar USD,0.998096,+0.002408,+0.24%,943.842M,11.149M,11.149M,11.149M,945.643M
50,2022-11-12 09:27:15,THETA-USD,Theta Network USD,0.938462,-0.074399,-7.35%,938.462M,35.26M,35.26M,35.26M,1B
51,2022-11-12 09:27:15,SAND-USD,The Sandbox USD,0.622533,-0.052607,-7.79%,933.469M,236.227M,236.227M,236.227M,1.499B
52,2022-11-12 09:27:15,EOS-USD,EOS USD,0.920423,-0.023806,-2.52%,925.617M,217.897M,217.897M,217.897M,1.006B
