,date_scraped,symbol,name,price,change,change_perc,market_cap,vol_utc,vol_24,total_vol,circ_supply
0,2022-10-04 09:05:37,Select BTC-USDBTC-USD,Bitcoin USD,"19,568.24",+473.34,+2.48%,375.092B,30.125B,30.125B,30.125B,19.168M
1,2022-10-04 09:05:39,Select ETH-USDETH-USD,Ethereum USD,"1,321.64",+39.52,+3.08%,162.088B,9.831B,9.831B,9.831B,122.641M
2,2022-10-04 09:05:39,Select USDT-USDUSDT-USD,Tether USD,1.0001,+0.0001,+0.01%,67.957B,39.401B,39.401B,39.401B,67.949B
3,2022-10-04 09:05:39,Select USDC-USDUSDC-USD,USD Coin USD,0.999949,-0.000114,-0.01%,47.177B,4.332B,4.332B,4.332B,47.18B
4,2022-10-04 09:05:39,Select BNB-USDBNB-USD,BNB USD,286.64,+0.73,+0.26%,46.245B,692.349M,692.349M,692.349M,161.337M
5,2022-10-04 09:05:39,Select XRP-USDXRP-USD,XRP USD,0.457154,+0.003900,+0.86%,22.812B,1.828B,1.828B,1.828B,49.901B
6,2022-10-04 09:05:40,Select BUSD-USDBUSD-USD,Binance USD USD,0.999832,+0.000146,+0.01%,21.039B,6.356B,6.356B,6.356B,21.042B
7,2022-10-04 09:05:40,Select ADA-USDADA-USD,Cardano USD,0.426407,+0.004043,+0.96%,14.606B,439.569M,439.569M,439.569M,34.253B
8,2022-10-04 09:05:40,Select SOL-USDSOL-USD,Solana USD,32.91,+0.74,+2.30%,11.687B,621.609M,621.609M,621.609M,355.086M
9,2022-10-04 09:05:40,Select DOGE-USDDOGE-USD,Dogecoin USD,0.060186,+0.000623,+1.05%,7.985B,189.583M,189.583M,189.583M,132.671B
10,2022-10-04 09:05:40,Select DOT-USDDOT-USD,Polkadot USD,6.3705,+0.1796,+2.90%,7.154B,221.467M,221.467M,221.467M,1.123B
11,2022-10-04 09:05:40,Select MATIC-USDMATIC-USD,Polygon USD,0.804910,+0.037220,+4.85%,7.03B,338.788M,338.788M,338.788M,8.734B
12,2022-10-04 09:05:41,Select DAI-USDDAI-USD,Dai USD,0.999763,-0.000597,-0.06%,6.784B,500.155M,500.155M,500.155M,6.785B
13,2022-10-04 09:05:41,Select WTRX-USDWTRX-USD,Wrapped TRON USD,0.061172,+0.000102,+0.17%,6.22B,"271,830","271,830","271,830",101.676B
14,2022-10-04 09:05:41,Select SHIB-USDSHIB-USD,Shiba Inu USD,0.000011,+0.000000,+1.07%,6.115B,188.033M,188.033M,188.033M,549.063T
15,2022-10-04 09:05:41,Select HEX-USDHEX-USD,HEX USD,0.033342,+0.000823,+2.53%,5.782B,6.376M,6.376M,6.376M,173.411B
16,2022-10-04 09:05:41,Select TRX-USDTRX-USD,TRON USD,0.061192,+0.000110,+0.18%,5.65B,310.437M,310.437M,310.437M,92.34B
17,2022-10-04 09:05:41,Select UNI1-USDUNI1-USD,Uniswap USD,6.7643,+0.5366,+8.62%,5.156B,168.695M,168.695M,168.695M,762.209M
18,2022-10-04 09:05:42,Select AVAX-USDAVAX-USD,Avalanche USD,17.12,+0.57,+3.43%,5.07B,200.057M,200.057M,200.057M,296.079M
19,2022-10-04 09:05:42,Select WBTC-USDWBTC-USD,Wrapped Bitcoin USD,"19,582.21",+494.41,+2.59%,4.795B,109.786M,109.786M,109.786M,"244,856"
20,2022-10-04 09:05:42,Select STETH-USDSTETH-USD,Lido Staked ETH USD,"1,313.50",+34.61,+2.71%,4.581B,3.293M,3.293M,3.293M,3.488M
21,2022-10-04 09:05:42,Select YOUC-USDYOUC-USD,yOUcash USD,0.511455,+0.000037,+0.01%,4.407B,"869,423","869,423","869,423",8.617B
22,2022-10-04 09:05:42,Select LEO-USDLEO-USD,UNUS SED LEO USD,4.1736,+0.0971,+2.38%,3.981B,2.608M,2.608M,2.608M,953.954M
23,2022-10-04 09:05:42,Select LTC-USDLTC-USD,Litecoin USD,54.31,+2.15,+4.13%,3.873B,360.155M,360.155M,360.155M,71.308M
24,2022-10-04 09:05:43,Select ETC-USDETC-USD,Ethereum Classic USD,27.36,+0.33,+1.22%,3.754B,313.997M,313.997M,313.997M,137.19M
25,2022-10-04 09:05:43,Select ATOM-USDATOM-USD,Cosmos USD,12.83,+0.71,+5.89%,3.675B,317.933M,317.933M,317.933M,286.37M
26,2022-10-04 09:05:43,Select LINK-USDLINK-USD,Chainlink USD,7.4145,+0.2717,+3.80%,3.645B,410.642M,410.642M,410.642M,491.6M
