,date_scraped,symbol,name,price,change,change_perc,market_cap,vol_utc,vol_24,total_vol,circ_supply
0,2022-10-03 09:36:47,Select BTC-USDBTC-USD,Bitcoin USD,"19,220.02",-77.07,-0.40%,368.398B,22.055B,22.055B,22.055B,19.167M
1,2022-10-03 09:36:49,Select ETH-USDETH-USD,Ethereum USD,"1,292.87",-16.53,-1.26%,158.54B,8.152B,8.152B,8.152B,122.627M
2,2022-10-03 09:36:49,Select USDT-USDUSDT-USD,Tether USD,1.0000,-0.0000,-0.00%,67.953B,32.219B,32.219B,32.219B,67.949B
3,2022-10-03 09:36:49,Select USDC-USDUSDC-USD,USD Coin USD,1.0000,+0.0000,+0.00%,47.326B,3.425B,3.425B,3.425B,47.326B
4,2022-10-03 09:36:50,Select BNB-USDBNB-USD,BNB USD,287.24,+4.99,+1.77%,46.343B,575.054M,575.054M,575.054M,161.337M
5,2022-10-03 09:36:50,Select XRP-USDXRP-USD,XRP USD,0.453548,-0.021023,-4.43%,22.632B,1.6B,1.6B,1.6B,49.901B
6,2022-10-03 09:36:50,Select BUSD-USDBUSD-USD,Binance USD USD,0.999747,-0.000509,-0.05%,21.037B,5.057B,5.057B,5.057B,21.042B
7,2022-10-03 09:36:50,Select ADA-USDADA-USD,Cardano USD,0.423841,-0.008111,-1.88%,14.518B,429.605M,429.605M,429.605M,34.253B
8,2022-10-03 09:36:50,Select SOL-USDSOL-USD,Solana USD,32.34,-0.44,-1.33%,11.492B,530.862M,530.862M,530.862M,355.416M
9,2022-10-03 09:36:50,Select DOGE-USDDOGE-USD,Dogecoin USD,0.059776,-0.000966,-1.59%,7.931B,203.664M,203.664M,203.664M,132.671B
10,2022-10-03 09:36:51,Select DOT-USDDOT-USD,Polkadot USD,6.2305,-0.0654,-1.04%,6.994B,213.268M,213.268M,213.268M,1.123B
11,2022-10-03 09:36:51,Select DAI-USDDAI-USD,Dai USD,1.0001,+0.0006,+0.06%,6.833B,256.478M,256.478M,256.478M,6.832B
12,2022-10-03 09:36:51,Select MATIC-USDMATIC-USD,Polygon USD,0.772656,+0.004026,+0.52%,6.749B,226.802M,226.802M,226.802M,8.734B
13,2022-10-03 09:36:51,Select WTRX-USDWTRX-USD,Wrapped TRON USD,0.061142,+0.000657,+1.09%,6.217B,1.204M,1.204M,1.204M,101.676B
14,2022-10-03 09:36:51,Select SHIB-USDSHIB-USD,Shiba Inu USD,0.0000,-0.0000,-0.6612%,6.088B,188.194M,188.194M,188.194M,549.063T
15,2022-10-03 09:36:52,Select HEX-USDHEX-USD,HEX USD,0.0327,-0.0002,-0.6703%,5.667B,5.699M,5.699M,5.699M,173.411B
16,2022-10-03 09:36:52,Select TRX-USDTRX-USD,TRON USD,0.0613,+0.0008,+1.2976%,5.660B,396.987M,396.987M,396.987M,92.341B
17,2022-10-03 09:36:52,Select AVAX-USDAVAX-USD,Avalanche USD,16.64,-0.38,-2.24%,4.925B,177.652M,177.652M,177.652M,296.056M
18,2022-10-03 09:36:52,Select UNI1-USDUNI1-USD,Uniswap USD,6.24,-0.21,-3.28%,4.758B,144.159M,144.159M,144.159M,762.209M
19,2022-10-03 09:36:53,Select WBTC-USDWBTC-USD,Wrapped Bitcoin USD,"19,195.69",-98.54,-0.51%,4.700B,75.383M,75.383M,75.383M,"244,856"
20,2022-10-03 09:36:53,Select STETH-USDSTETH-USD,Lido Staked ETH USD,"1,289.73",-15.54,-1.19%,4.498B,2.907M,2.907M,2.907M,3.488M
21,2022-10-03 09:36:54,Select YOUC-USDYOUC-USD,yOUcash USD,0.5114,-0.0000,-0.0008%,4.407B,"543,008","543,008","543,008",8.617B
