,date_scraped,symbol,name,price,change,change_perc,market_cap,vol_utc,vol_24,total_vol,circ_supply
0,2022-10-19 08:21:49,BTC-USD,Bitcoin USD,"19,291.39",-246.34,-1.26%,370.068B,30.488B,30.488B,30.488B,19.183M
1,2022-10-19 08:21:49,ETH-USD,Ethereum USD,"1,309.33",-23.22,-1.74%,160.228B,10.361B,10.361B,10.361B,122.374M
2,2022-10-19 08:21:49,USDT-USD,Tether USD,1.0002,+0.0001,+0.01%,68.463B,38.892B,38.892B,38.892B,68.453B
3,2022-10-19 08:21:49,USDC-USD,USD Coin USD,0.999874,-0.000168,-0.02%,44.554B,2.9B,2.9B,2.9B,44.56B
4,2022-10-19 08:21:49,BNB-USD,BNB USD,272.96,-2.15,-0.78%,44.039B,597.474M,597.474M,597.474M,161.337M
5,2022-10-19 08:21:49,XRP-USD,XRP USD,0.464464,-0.014669,-3.06%,23.171B,1.368B,1.368B,1.368B,49.887B
6,2022-10-19 08:21:50,BUSD-USD,Binance USD USD,1.0004,+0.0005,+0.05%,21.637B,7.126B,7.126B,7.126B,21.628B
7,2022-10-19 08:21:50,ADA-USD,Cardano USD,0.360667,-0.012463,-3.34%,12.368B,433.073M,433.073M,433.073M,34.292B
8,2022-10-19 08:21:50,SOL-USD,Solana USD,30.11,-1.08,-3.45%,10.784B,711.356M,711.356M,711.356M,358.115M
9,2022-10-19 08:21:50,DOGE-USD,Dogecoin USD,0.059638,-0.000382,-0.64%,7.912B,238.928M,238.928M,238.928M,132.671B
10,2022-10-19 08:21:50,MATIC-USD,Polygon USD,0.861142,+0.010874,+1.28%,7.521B,531.734M,531.734M,531.734M,8.734B
11,2022-10-19 08:21:50,DOT-USD,Polkadot USD,6.1488,-0.1071,-1.71%,6.934B,194.34M,194.34M,194.34M,1.128B
12,2022-10-19 08:21:51,DAI-USD,Dai USD,0.999591,-0.000211,-0.02%,6.424B,238.698M,238.698M,238.698M,6.426B
13,2022-10-19 08:21:51,WTRX-USD,Wrapped TRON USD,0.062124,-0.000406,-0.65%,6.316B,"601,770","601,770","601,770",101.676B
14,2022-10-19 08:21:51,TRX-USD,TRON USD,0.062217,-0.000510,-0.81%,5.743B,333.503M,333.503M,333.503M,92.305B
15,2022-10-19 08:21:51,HEX-USD,HEX USD,0.032294,+0.000001,+0.00%,5.6B,4.683M,4.683M,4.683M,173.411B
16,2022-10-19 08:21:51,SHIB-USD,Shiba Inu USD,0.000010,-0.000000,-2.94%,5.567B,172.74M,172.74M,172.74M,549.063T
17,2022-10-19 08:21:51,UNI7083-USD,Uniswap USD,6.5596,+0.1733,+2.71%,5B,136.451M,136.451M,136.451M,762.209M
18,2022-10-19 08:21:52,UNI1-USD,Uniswap USD,6.4318,-0.1717,-2.60%,4.902B,79.029M,79.029M,79.029M,762.209M
19,2022-10-19 08:21:52,WBTC-USD,Wrapped Bitcoin USD,"19,294.88",-253.17,-1.30%,4.721B,126.165M,126.165M,126.165M,"244,655"
20,2022-10-19 08:21:52,AVAX-USD,Avalanche USD,15.84,-0.37,-2.30%,4.696B,194.831M,194.831M,194.831M,296.421M
21,2022-10-19 08:21:52,STETH-USD,Lido Staked ETH USD,"1,302.30",-23.72,-1.79%,4.542B,2.787M,2.787M,2.787M,3.488M
22,2022-10-19 08:21:52,LEO-USD,UNUS SED LEO USD,4.3026,-0.2053,-4.55%,4.104B,2.963M,2.963M,2.963M,953.954M
23,2022-10-19 08:21:52,LTC-USD,Litecoin USD,51.80,-0.02,-0.05%,3.7B,301.942M,301.942M,301.942M,71.416M
24,2022-10-19 08:21:52,ATOM-USD,Cosmos USD,12.55,+0.10,+0.78%,3.593B,251.553M,251.553M,251.553M,286.37M
25,2022-10-19 08:21:53,LINK-USD,Chainlink USD,7.1004,-0.2271,-3.10%,3.491B,305.1M,305.1M,305.1M,491.6M
26,2022-10-19 08:21:53,ETC-USD,Ethereum Classic USD,23.37,-0.44,-1.84%,3.212B,335.449M,335.449M,335.449M,137.447M
27,2022-10-19 08:21:53,FTT-USD,FTX Token USD,23.54,-0.57,-2.38%,3.154B,57.47M,57.47M,57.47M,133.975M
28,2022-10-19 08:21:53,XLM-USD,Stellar USD,0.112237,-0.001944,-1.70%,2.875B,93.348M,93.348M,93.348M,25.612B
29,2022-10-19 08:21:53,CRO-USD,Cronos USD,0.108081,-0.001322,-1.21%,2.73B,29.373M,29.373M,29.373M,25.263B
30,2022-10-19 08:21:54,XMR-USD,Monero USD,145.72,+1.93,+1.34%,2.65B,117.77M,117.77M,117.77M,18.189M
31,2022-10-19 08:21:54,NEAR-USD,NEAR Protocol USD,2.9541,-0.1105,-3.61%,2.4B,155.378M,155.378M,155.378M,812.58M
32,2022-10-19 08:21:54,ALGO-USD,Algorand USD,0.318177,-0.012196,-3.69%,2.233B,75.307M,75.307M,75.307M,7.02B
33,2022-10-19 08:21:54,QNT-USD,Quant USD,181.11,-24.05,-11.72%,2.187B,155.63M,155.63M,155.63M,12.073M
34,2022-10-19 08:21:54,BCH-USD,Bitcoin Cash USD,108.64,-1.93,-1.74%,2.086B,215.953M,215.953M,215.953M,19.205M
35,2022-10-19 08:21:54,BTCB-USD,Bitcoin BEP2 USD,"19,304.71",-229.97,-1.18%,2.034B,3.083M,3.083M,3.083M,"105,376"
36,2022-10-19 08:21:55,VET-USD,VeChain USD,0.022985,-0.000398,-1.70%,1.667B,58.424M,58.424M,58.424M,72.511B
37,2022-10-19 08:21:55,LUNA1-USD,Terra Classic USD,0.000288,-0.000019,-6.32%,1.768B,484.364M,484.364M,484.364M,6.151T
38,2022-10-19 08:21:55,FLOW-USD,Flow USD,1.5264,-0.0174,-1.13%,1.582B,36.416M,36.416M,36.416M,1.036B
39,2022-10-19 08:21:55,LUNC-USD,Terra Classic USD,0.000254,-0.000012,-4.38%,1.56B,246.526M,246.526M,246.526M,6.151T
40,2022-10-19 08:21:55,APE3-USD,ApeCoin USD,5.1891,-0.0515,-0.98%,1.592B,121.185M,121.185M,121.185M,306.875M
41,2022-10-19 08:21:56,FIL-USD,Filecoin USD,5.1222,-0.1380,-2.62%,1.536B,114.225M,114.225M,114.225M,299.946M
42,2022-10-19 08:21:56,TONCOIN-USD,Toncoin USD,1.2677,-0.0467,-3.56%,1.548B,8.29M,8.29M,8.29M,1.221B
43,2022-10-19 08:21:56,TON11419-USD,Toncoin USD,1.2543,+0.0007,+0.05%,1.532B,3.489M,3.489M,3.489M,1.221B
44,2022-10-19 08:21:56,XCN1-USD,Chain USD,0.068551,+0.000469,+0.69%,1.472B,4.914M,4.914M,4.914M,21.473B
45,2022-10-19 08:21:56,HBAR-USD,Hedera USD,0.062166,-0.000554,-0.88%,1.428B,51.311M,51.311M,51.311M,22.968B
46,2022-10-19 08:21:56,FRAX-USD,Frax USD,0.994701,-0.002470,-0.25%,1.356B,10.054M,10.054M,10.054M,1.363B
47,2022-10-19 08:21:57,APE18876-USD,ApeCoin USD,4.4051,-0.1536,-3.37%,1.352B,115.236M,115.236M,115.236M,306.875M
48,2022-10-19 08:21:57,XCN18679-USD,Chain USD,0.062705,-0.001115,-1.75%,1.346B,12.074M,12.074M,12.074M,21.473B
49,2022-10-19 08:21:57,ICP-USD,Internet Computer USD,4.9485,-0.1555,-3.05%,1.328B,37.755M,37.755M,37.755M,268.414M
50,2022-10-19 08:21:57,EGLD-USD,Elrond USD,56.19,-1.69,-2.92%,1.325B,59.529M,59.529M,59.529M,23.577M
51,2022-10-19 08:21:57,XTZ-USD,Tezos USD,1.3755,-0.0161,-1.16%,1.256B,23.168M,23.168M,23.168M,912.948M
52,2022-10-19 08:21:58,HT-USD,Huobi Token USD,7.7970,-0.0418,-0.53%,1.196B,45.184M,45.184M,45.184M,153.358M
53,2022-10-19 08:21:58,MANA-USD,Decentraland USD,0.630823,-0.020018,-3.08%,1.17B,103.546M,103.546M,103.546M,1.855B
54,2022-10-19 08:21:58,WBNB-USD,Wrapped BNB USD,273.61,-2.01,-0.73%,1.17B,80.161M,80.161M,80.161M,4.277M
55,2022-10-19 08:21:58,AAVE-USD,Aave USD,82.26,+3.17,+4.01%,1.159B,167.604M,167.604M,167.604M,14.093M
56,2022-10-19 08:21:58,SAND-USD,The Sandbox USD,0.771884,-0.022093,-2.78%,1.157B,112.412M,112.412M,112.412M,1.499B
