,date_scraped,symbol,name,price,change,change_perc,market_cap,vol_utc,vol_24,total_vol,circ_supply
0,2022-11-02 11:39:42,BTC-USD,Bitcoin USD,"20,533.29",+34.49,+0.17%,394.155B,38.856B,38.856B,38.856B,19.196M
1,2022-11-02 11:39:44,ETH-USD,Ethereum USD,"1,591.41",+4.75,+0.30%,194.748B,14.017B,14.017B,14.017B,122.374M
2,2022-11-02 11:39:44,USDT-USD,Tether USD,0.999944,+0.000059,+0.01%,69.416B,55.313B,55.313B,55.313B,69.42B
3,2022-11-02 11:39:44,BNB-USD,BNB USD,326.78,-4.71,-1.42%,52.277B,1.165B,1.165B,1.165B,159.978M
4,2022-11-02 11:39:44,USDC-USD,USD Coin USD,1.0001,+0.0001,+0.01%,43.008B,3.421B,3.421B,3.421B,43.004B
5,2022-11-02 11:39:44,XRP-USD,XRP USD,0.461119,+0.003060,+0.67%,23.095B,1.222B,1.222B,1.222B,50.085B
6,2022-11-02 11:39:45,BUSD-USD,Binance USD USD,1.0002,+0.0001,+0.01%,21.663B,6.899B,6.899B,6.899B,21.659B
7,2022-11-02 11:39:45,DOGE-USD,Dogecoin USD,0.142705,+0.015617,+12.29%,18.933B,8.062B,8.062B,8.062B,132.671B
8,2022-11-02 11:39:45,ADA-USD,Cardano USD,0.400660,-0.006871,-1.69%,13.755B,480.884M,480.884M,480.884M,34.331B
9,2022-11-02 11:39:45,SOL-USD,Solana USD,32.32,-0.45,-1.38%,11.612B,737.809M,737.809M,737.809M,359.332M
10,2022-11-02 11:39:45,HEX-USD,HEX USD,0.043996,+0.000909,+2.11%,7.629B,5.282M,5.282M,5.282M,173.411B
11,2022-11-02 11:39:45,MATIC-USD,Polygon USD,0.876542,-0.028683,-3.17%,7.656B,321.846M,321.846M,321.846M,8.734B
12,2022-11-02 11:39:46,DOT-USD,Polkadot USD,6.4497,-0.2013,-3.03%,7.302B,245.259M,245.259M,245.259M,1.132B
13,2022-11-02 11:39:46,SHIB-USD,Shiba Inu USD,0.000013,+0.000000,+2.28%,6.98B,967.743M,967.743M,967.743M,549.063T
14,2022-11-02 11:39:46,WTRX-USD,Wrapped TRON USD,0.062767,-0.000455,-0.72%,6.382B,"216,840","216,840","216,840",101.676B
15,2022-11-02 11:39:46,DAI-USD,Dai USD,1.0000,+0.0003,+0.03%,6.116B,195.57M,195.57M,195.57M,6.115B
16,2022-11-02 11:39:46,TRX-USD,TRON USD,0.062705,-0.000577,-0.91%,5.785B,297.59M,297.59M,297.59M,92.254B
17,2022-11-02 11:39:46,STETH-USD,Lido Staked ETH USD,"1,589.52",+4.13,+0.26%,5.544B,1.518M,1.518M,1.518M,3.488M
18,2022-11-02 11:39:47,UNI7083-USD,Uniswap USD,7.2371,+0.2315,+3.30%,5.516B,221.429M,221.429M,221.429M,762.209M
19,2022-11-02 11:39:47,AVAX-USD,Avalanche USD,18.41,-0.82,-4.26%,5.497B,271.909M,271.909M,271.909M,298.66M
20,2022-11-02 11:39:47,WBTC-USD,Wrapped Bitcoin USD,"20,526.70",+24.06,+0.12%,5.039B,94.858M,94.858M,94.858M,"245,479"
21,2022-11-02 11:39:47,LEO-USD,UNUS SED LEO USD,4.6211,+0.0374,+0.82%,4.408B,2.936M,2.936M,2.936M,953.954M
22,2022-11-02 11:39:47,ATOM-USD,Cosmos USD,14.00,-0.29,-2.06%,4.01B,259.704M,259.704M,259.704M,286.37M
23,2022-11-02 11:39:48,LTC-USD,Litecoin USD,55.57,+0.51,+0.93%,3.974B,426.774M,426.774M,426.774M,71.518M
24,2022-11-02 11:39:48,LINK-USD,Chainlink USD,7.8478,+0.0048,+0.06%,3.858B,347.197M,347.197M,347.197M,491.6M
25,2022-11-02 11:39:48,FTT-USD,FTX Token USD,26.12,-0.12,-0.47%,3.478B,63.466M,63.466M,63.466M,133.136M
26,2022-11-02 11:39:48,ETC-USD,Ethereum Classic USD,24.13,-0.19,-0.79%,3.323B,329.764M,329.764M,329.764M,137.706M
27,2022-11-02 11:39:48,CRO-USD,Cronos USD,0.111822,-0.002035,-1.79%,2.825B,33.943M,33.943M,33.943M,25.263B
28,2022-11-02 11:39:49,XLM-USD,Stellar USD,0.110242,-0.000889,-0.80%,2.825B,77.986M,77.986M,77.986M,25.622B
29,2022-11-02 11:39:49,XMR-USD,Monero USD,150.02,+0.71,+0.48%,2.73B,77.637M,77.637M,77.637M,18.195M
30,2022-11-02 11:39:49,ALGO-USD,Algorand USD,0.354044,-0.000937,-0.26%,2.5B,150.207M,150.207M,150.207M,7.063B
31,2022-11-02 11:39:49,NEAR-USD,NEAR Protocol USD,3.0173,-0.0949,-3.05%,2.469B,283.109M,283.109M,283.109M,818.12M
32,2022-11-02 11:39:49,BCH-USD,Bitcoin Cash USD,115.20,-0.07,-0.06%,2.214B,443.545M,443.545M,443.545M,19.217M
33,2022-11-02 11:39:50,BTCB-USD,Bitcoin BEP2 USD,"20,513.11",+22.81,+0.11%,2.162B,2.181M,2.181M,2.181M,"105,403"
34,2022-11-02 11:39:50,TON11419-USD,Toncoin USD,1.6734,+0.1620,+10.71%,2.044B,20.908M,20.908M,20.908M,1.221B
35,2022-11-02 11:39:50,QNT-USD,Quant USD,161.21,-5.38,-3.23%,1.946B,43.089M,43.089M,43.089M,12.073M
36,2022-11-02 11:39:50,VET-USD,VeChain USD,0.023660,-0.000281,-1.18%,1.716B,50.962M,50.962M,50.962M,72.511B
37,2022-11-02 11:39:50,FLOW-USD,Flow USD,1.6503,-0.0260,-1.55%,1.71B,34.279M,34.279M,34.279M,1.036B
38,2022-11-02 11:39:51,FIL-USD,Filecoin USD,5.3965,-0.0408,-0.75%,1.686B,146.399M,146.399M,146.399M,312.352M
39,2022-11-02 11:39:51,LUNC-USD,Terra Classic USD,0.000222,-0.000021,-8.51%,1.465B,287.695M,287.695M,287.695M,6.59T
40,2022-11-02 11:39:51,EGLD-USD,Elrond USD,60.15,+1.29,+2.20%,1.422B,64.241M,64.241M,64.241M,23.636M
41,2022-11-02 11:39:51,ICP-USD,Internet Computer USD,5.1743,-0.1194,-2.26%,1.392B,37.061M,37.061M,37.061M,268.963M
42,2022-11-02 11:39:51,APE18876-USD,ApeCoin USD,4.5018,-0.2250,-4.76%,1.381B,160.529M,160.529M,160.529M,306.875M
43,2022-11-02 11:39:52,CHZ-USD,Chiliz USD,0.224826,+0.002804,+1.26%,1.351B,517.574M,517.574M,517.574M,6.007B
44,2022-11-02 11:39:52,XCN18679-USD,Chain USD,0.062345,+0.000148,+0.24%,1.339B,31.207M,31.207M,31.207M,21.473B
45,2022-11-02 11:39:52,HBAR-USD,Hedera USD,0.058209,-0.001540,-2.58%,1.337B,32.187M,32.187M,32.187M,22.968B
46,2022-11-02 11:39:52,XTZ-USD,Tezos USD,1.4228,-0.0010,-0.07%,1.301B,26.911M,26.911M,26.911M,914.659M
47,2022-11-02 11:39:53,SAND-USD,The Sandbox USD,0.856447,-0.040846,-4.55%,1.284B,275.438M,275.438M,275.438M,1.499B
