,date_scraped,symbol,name,price,change,change_perc,market_cap,vol_utc,vol_24,total_vol,circ_supply
0,2022-11-13 10:45:42,BTC-USD,Bitcoin USD,"16,877.85",-56.51,-0.33%,324.155B,27.777B,27.777B,27.777B,19.206M
1,2022-11-13 10:45:42,ETH-USD,Ethereum USD,"1,264.42",-18.10,-1.41%,154.733B,10.438B,10.438B,10.438B,122.374M
2,2022-11-13 10:45:44,USDT-USD,Tether USD,0.998618,+0.000627,+0.06%,66.342B,38.137B,38.137B,38.137B,66.433B
3,2022-11-13 10:45:44,BNB-USD,BNB USD,283.08,-4.42,-1.54%,45.286B,1.14B,1.14B,1.14B,159.975M
4,2022-11-13 10:45:44,USDC-USD,USD Coin USD,1.0003,-0.0001,-0.01%,44.12B,2.377B,2.377B,2.377B,44.106B
5,2022-11-13 10:45:44,BUSD-USD,Binance USD USD,1.0010,-0.0006,-0.06%,23.368B,10.326B,10.326B,10.326B,23.346B
6,2022-11-13 10:45:45,XRP-USD,XRP USD,0.366783,-0.012312,-3.25%,18.418B,892.047M,892.047M,892.047M,50.215B
7,2022-11-13 10:45:45,DOGE-USD,Dogecoin USD,0.090975,+0.007415,+8.87%,12.07B,1.913B,1.913B,1.913B,132.671B
8,2022-11-13 10:45:45,ADA-USD,Cardano USD,0.342522,-0.007345,-2.10%,11.781B,379.452M,379.452M,379.452M,34.396B
9,2022-11-13 10:45:45,MATIC-USD,Polygon USD,0.961034,-0.073039,-7.06%,8.394B,808.702M,808.702M,808.702M,8.734B
10,2022-11-13 10:45:45,DOT-USD,Polkadot USD,5.8381,+0.0313,+0.54%,6.625B,206.791M,206.791M,206.791M,1.135B
11,2022-11-13 10:45:45,DAI-USD,Dai USD,1.0009,-0.0004,-0.04%,5.913B,261.292M,261.292M,261.292M,5.908B
12,2022-11-13 10:45:46,HEX-USD,HEX USD,0.033412,-0.000590,-1.74%,5.794B,3.707M,3.707M,3.707M,173.411B
13,2022-11-13 10:45:46,WTRX-USD,Wrapped TRON USD,0.055500,+0.000405,+0.73%,5.643B,2.524M,2.524M,2.524M,101.676B
14,2022-11-13 10:45:46,SHIB-USD,Shiba Inu USD,0.00000970,-0.00000007,-0.71%,5.329B,271.887M,271.887M,271.887M,549.063T
15,2022-11-13 10:45:46,SOL-USD,Solana USD,14.33,-1.77,-11.01%,5.197B,861.628M,861.628M,861.628M,362.764M
16,2022-11-13 10:45:46,TRX-USD,TRON USD,0.055636,+0.000355,+0.64%,5.13B,452.087M,452.087M,452.087M,92.209B
17,2022-11-13 10:45:46,LTC-USD,Litecoin USD,59.99,-1.25,-2.04%,4.295B,661.341M,661.341M,661.341M,71.599M
18,2022-11-13 10:45:47,UNI7083-USD,Uniswap USD,5.6324,-0.3322,-5.57%,4.293B,237.867M,237.867M,237.867M,762.209M
19,2022-11-13 10:45:47,STETH-USD,Lido Staked ETH USD,"1,202.52",-72.14,-5.66%,4.194B,1.243M,1.243M,1.243M,3.488M
20,2022-11-13 10:45:47,WBTC-USD,Wrapped Bitcoin USD,"16,852.93",-86.33,-0.51%,4.011B,149.217M,149.217M,149.217M,"238,013"
21,2022-11-13 10:45:47,AVAX-USD,Avalanche USD,13.27,-0.50,-3.63%,3.983B,147.477M,147.477M,147.477M,300.072M
22,2022-11-13 10:45:47,LEO-USD,UNUS SED LEO USD,3.8777,-0.0752,-1.90%,3.699B,2.374M,2.374M,2.374M,953.954M
23,2022-11-13 10:45:47,ATOM-USD,Cosmos USD,11.00,-0.47,-4.08%,3.149B,142.158M,142.158M,142.158M,286.37M
24,2022-11-13 10:45:48,LINK-USD,Chainlink USD,6.3694,-0.5472,-7.91%,3.131B,578.502M,578.502M,578.502M,491.6M
25,2022-11-13 10:45:48,ETC-USD,Ethereum Classic USD,20.76,-0.50,-2.35%,2.862B,213.685M,213.685M,213.685M,137.87M
26,2022-11-13 10:45:48,XMR-USD,Monero USD,130.20,+0.85,+0.66%,2.37B,59.488M,59.488M,59.488M,18.2M
27,2022-11-13 10:45:48,XLM-USD,Stellar USD,0.091853,-0.002481,-2.63%,2.357B,85.834M,85.834M,85.834M,25.656B
28,2022-11-13 10:45:48,CRO-USD,Cronos USD,0.079119,-0.005753,-6.78%,1.999B,45.899M,45.899M,45.899M,25.263B
29,2022-11-13 10:45:49,BCH-USD,Bitcoin Cash USD,102.71,+0.71,+0.70%,1.975B,196.378M,196.378M,196.378M,19.227M
30,2022-11-13 10:45:49,ALGO-USD,Algorand USD,0.275486,-0.017759,-6.06%,1.955B,147.834M,147.834M,147.834M,7.096B
31,2022-11-13 10:45:49,TON11419-USD,Toncoin USD,1.5593,+0.0217,+1.41%,1.905B,13.303M,13.303M,13.303M,1.221B
32,2022-11-13 10:45:49,BTCB-USD,Bitcoin BEP2 USD,"16,829.01",-107.31,-0.63%,1.774B,36.092M,36.092M,36.092M,"105,423"
