,date_scraped,symbol,name,price,change,change_perc,market_cap,vol_utc,vol_24,total_vol,circ_supply
0,2022-09-24 15:18:17,Select BTC-USDBTC-USD,Bitcoin USD,"18,987.88",-312.78,-1.62%,363.79B,37.859B,37.859B,37.859B,19.159M
1,2022-09-24 15:18:19,Select ETH-USDETH-USD,Ethereum USD,"1,319.89",-20.33,-1.52%,161.689B,18.01B,18.01B,18.01B,122.502M
2,2022-09-24 15:18:19,Select USDT-USDUSDT-USD,Tether USD,1.0000,+0.0000,+0.00%,67.957B,56.094B,56.094B,56.094B,67.955B
3,2022-09-24 15:18:19,Select USDC-USDUSDC-USD,USD Coin USD,1.0001,+0.0000,+0.00%,49.742B,5.204B,5.204B,5.204B,49.739B
4,2022-09-24 15:18:20,Select BNB-USDBNB-USD,BNB USD,279.99,+3.52,+1.27%,45.173B,935.628M,935.628M,935.628M,161.337M
5,2022-09-24 15:18:20,Select XRP-USDXRP-USD,XRP USD,0.495380,-0.046245,-8.54%,24.694B,6.399B,6.399B,6.399B,49.849B
6,2022-09-24 15:18:20,Select BUSD-USDBUSD-USD,Binance USD USD,1.0007,-0.0002,-0.02%,20.531B,9.592B,9.592B,9.592B,20.517B
7,2022-09-24 15:18:20,Select ADA-USDADA-USD,Cardano USD,0.459931,-0.008194,-1.75%,15.742B,841.477M,841.477M,841.477M,34.227B
8,2022-09-24 15:18:20,Select SOL-USDSOL-USD,Solana USD,33.64,+0.74,+2.26%,11.932B,1.015B,1.015B,1.015B,354.653M
9,2022-09-24 15:18:20,Select DOGE-USDDOGE-USD,Dogecoin USD,0.065397,+0.003759,+6.10%,8.676B,1.036B,1.036B,1.036B,132.671B
10,2022-09-24 15:18:20,Select DOT-USDDOT-USD,Polkadot USD,6.4156,-0.1066,-1.63%,7.184B,325.901M,325.901M,325.901M,1.12B
11,2022-09-24 15:18:21,Select DAI-USDDAI-USD,Dai USD,0.999426,-0.000726,-0.07%,6.932B,276.409M,276.409M,276.409M,6.936B
12,2022-09-24 15:18:21,Select MATIC-USDMATIC-USD,Polygon USD,0.767554,+0.006417,+0.84%,6.704B,454.418M,454.418M,454.418M,8.734B
13,2022-09-24 15:18:21,Select SHIB-USDSHIB-USD,Shiba Inu USD,0.000011,+0.000000,+1.81%,6.142B,413.235M,413.235M,413.235M,549.063T
14,2022-09-24 15:18:21,Select WTRX-USDWTRX-USD,Wrapped TRON USD,0.060110,-0.000806,-1.32%,6.112B,"920,830","920,830","920,830",101.676B
15,2022-09-24 15:18:21,Select TRX-USDTRX-USD,TRON USD,0.059973,-0.000869,-1.43%,5.539B,367.133M,367.133M,367.133M,92.355B
16,2022-09-24 15:18:21,Select HEX-USDHEX-USD,HEX USD,0.031669,-0.000490,-1.52%,5.492B,5.738M,5.738M,5.738M,173.411B
17,2022-09-24 15:18:22,Select AVAX-USDAVAX-USD,Avalanche USD,17.90,-0.06,-0.36%,5.296B,259.821M,259.821M,259.821M,295.878M
18,2022-09-24 15:18:22,Select WBTC-USDWBTC-USD,Wrapped Bitcoin USD,"19,021.29",-299.12,-1.55%,4.655B,233.918M,233.918M,233.918M,"244,707"
19,2022-09-24 15:18:22,Select STETH-USDSTETH-USD,Lido Staked ETH USD,"1,313.70",-18.13,-1.36%,4.582B,12.687M,12.687M,12.687M,3.488M
20,2022-09-24 15:18:22,Select UNI1-USDUNI1-USD,Uniswap USD,5.9232,+0.0167,+0.28%,4.515B,108.908M,108.908M,108.908M,762.209M
21,2022-09-24 15:18:22,Select YOUC-USDYOUC-USD,yOUcash USD,0.511420,+0.000022,+0.00%,4.407B,"394,204","394,204","394,204",8.617B
22,2022-09-24 15:18:22,Select LEO-USDLEO-USD,UNUS SED LEO USD,4.2798,-0.4657,-9.81%,4.083B,4.47M,4.47M,4.47M,953.954M
23,2022-09-24 15:18:23,Select ATOM-USDATOM-USD,Cosmos USD,14.02,-0.88,-5.92%,4.014B,599.286M,599.286M,599.286M,286.37M
24,2022-09-24 15:18:23,Select ETC-USDETC-USD,Ethereum Classic USD,28.54,-0.42,-1.44%,3.911B,619.161M,619.161M,619.161M,137.029M
25,2022-09-24 15:18:23,Select LTC-USDLTC-USD,Litecoin USD,54.70,+0.66,+1.22%,3.897B,552.912M,552.912M,552.912M,71.238M
26,2022-09-24 15:18:23,Select LINK-USDLINK-USD,Chainlink USD,7.5313,+0.3384,+4.70%,3.702B,646.854M,646.854M,646.854M,491.6M
27,2022-09-24 15:18:23,Select FTT-USDFTT-USD,FTX Token USD,23.82,+0.04,+0.16%,3.192B,68.751M,68.751M,68.751M,133.975M
28,2022-09-24 15:18:24,Select XLM-USDXLM-USD,Stellar USD,0.123937,-0.006524,-5.00%,3.156B,381.36M,381.36M,381.36M,25.462B
29,2022-09-24 15:18:24,Select CRO-USDCRO-USD,Cronos USD,0.120331,+0.001281,+1.08%,3.04B,137.037M,137.037M,137.037M,25.263B
30,2022-09-24 15:18:24,Select NEAR-USDNEAR-USD,NEAR Protocol USD,3.8052,-0.0900,-2.31%,2.995B,250.625M,250.625M,250.625M,787.2M
31,2022-09-24 15:18:24,Select ALGO-USDALGO-USD,Algorand USD,0.380045,-0.009082,-2.33%,2.634B,397.744M,397.744M,397.744M,6.931B
32,2022-09-24 15:18:24,Select XMR-USDXMR-USD,Monero USD,141.78,-1.29,-0.90%,2.577B,65.455M,65.455M,65.455M,18.178M
