,date_scraped,symbol,name,price,change,change_perc,market_cap,vol_utc,vol_24,total_vol,circ_supply
0,2022-10-16 10:33:40,BTC-USD,Bitcoin USD,"19,139.93",-35.53,-0.19%,367.112B,15.967B,15.967B,15.967B,19.18M
1,2022-10-16 10:33:42,ETH-USD,Ethereum USD,"1,282.68",-15.62,-1.20%,157.531B,6.753B,6.753B,6.753B,122.814M
2,2022-10-16 10:33:42,USDT-USD,Tether USD,1.0001,+0.0000,+0.00%,68.437B,25.29B,25.29B,25.29B,68.433B
3,2022-10-16 10:33:42,USDC-USD,USD Coin USD,1.0000,-0.0000,-0.00%,45.011B,2.532B,2.532B,2.532B,45.01B
4,2022-10-16 10:33:42,BNB-USD,BNB USD,269.88,+0.36,+0.13%,43.541B,500.034M,500.034M,500.034M,161.337M
5,2022-10-16 10:33:42,XRP-USD,XRP USD,0.485722,-0.000932,-0.19%,24.269B,814.486M,814.486M,814.486M,49.964B
6,2022-10-16 10:33:42,BUSD-USD,Binance USD USD,1.0001,-0.0004,-0.04%,21.63B,4.559B,4.559B,4.559B,21.628B
7,2022-10-16 10:33:43,ADA-USD,Cardano USD,0.366329,-0.002130,-0.58%,12.56B,342.327M,342.327M,342.327M,34.285B
8,2022-10-16 10:33:43,SOL-USD,Solana USD,29.83,-0.26,-0.85%,10.679B,544.344M,544.344M,544.344M,358.019M
9,2022-10-16 10:33:43,DOGE-USD,Dogecoin USD,0.059188,+0.000308,+0.52%,7.853B,184.149M,184.149M,184.149M,132.671B
10,2022-10-16 10:33:43,MATIC-USD,Polygon USD,0.796803,+0.000503,+0.06%,6.96B,210.146M,210.146M,210.146M,8.734B
11,2022-10-16 10:33:43,DOT-USD,Polkadot USD,6.1316,+0.0769,+1.27%,6.908B,132.518M,132.518M,132.518M,1.127B
12,2022-10-16 10:33:43,DAI-USD,Dai USD,0.999726,-0.000105,-0.01%,6.476B,147.184M,147.184M,147.184M,6.477B
13,2022-10-16 10:33:44,WTRX-USD,Wrapped TRON USD,0.061776,-0.003163,-4.87%,6.281B,"943,840","943,840","943,840",101.676B
14,2022-10-16 10:33:44,TRX-USD,TRON USD,0.061890,-0.002845,-4.39%,5.713B,416.256M,416.256M,416.256M,92.314B
15,2022-10-16 10:33:44,SHIB-USD,Shiba Inu USD,0.000010,+0.000000,+1.44%,5.65B,181.137M,181.137M,181.137M,549.063T
16,2022-10-16 10:33:44,HEX-USD,HEX USD,0.031232,-0.000169,-0.54%,5.416B,2.752M,2.752M,2.752M,173.411B
17,2022-10-16 10:33:44,UNI1-USD,Uniswap USD,6.4318,-0.1717,-2.60%,4.902B,79.029M,79.029M,79.029M,762.209M
18,2022-10-16 10:33:45,WBTC-USD,Wrapped Bitcoin USD,"19,138.62",-41.90,-0.22%,4.682B,57.606M,57.606M,57.606M,"244,655"
19,2022-10-16 10:33:45,AVAX-USD,Avalanche USD,15.53,-0.15,-0.95%,4.602B,109.061M,109.061M,109.061M,296.356M
20,2022-10-16 10:33:45,UNI7083-USD,Uniswap USD,6.03,-0.18,-2.93%,4.600B,67.987M,67.987M,67.987M,762.209M
