,date_scraped,symbol,name,price,change,change_perc,market_cap,vol_utc,vol_24,total_vol,circ_supply
0,2022-09-30 12:27:06,Select BTC-USDBTC-USD,Bitcoin USD,"19,427.94",-103.76,-0.53%,372.326B,40.373B,40.373B,40.373B,19.164M
1,2022-09-30 12:27:09,Select ETH-USDETH-USD,Ethereum USD,"1,328.77",-13.82,-1.03%,162.889B,13.973B,13.973B,13.973B,122.586M
2,2022-09-30 12:27:09,Select USDT-USDUSDT-USD,Tether USD,1.0000,+0.0001,+0.01%,67.96B,52.192B,52.192B,52.192B,67.956B
3,2022-09-30 12:27:09,Select USDC-USDUSDC-USD,USD Coin USD,1.0000,-0.0002,-0.02%,47.668B,4.095B,4.095B,4.095B,47.667B
4,2022-09-30 12:27:09,Select BNB-USDBNB-USD,BNB USD,284.61,-0.59,-0.21%,45.918B,790.627M,790.627M,790.627M,161.337M
5,2022-09-30 12:27:09,Select XRP-USDXRP-USD,XRP USD,0.481842,+0.038361,+8.65%,24.044B,3.843B,3.843B,3.843B,49.901B
6,2022-09-30 12:27:10,Select BUSD-USDBUSD-USD,Binance USD USD,1.0000,-0.0011,-0.11%,21.043B,6.861B,6.861B,6.861B,21.042B
7,2022-09-30 12:27:10,Select ADA-USDADA-USD,Cardano USD,0.437370,+0.001138,+0.26%,14.976B,561.723M,561.723M,561.723M,34.241B
8,2022-09-30 12:27:10,Select SOL-USDSOL-USD,Solana USD,34.07,+0.21,+0.61%,12.09B,993.026M,993.026M,993.026M,354.913M
9,2022-09-30 12:27:10,Select DOGE-USDDOGE-USD,Dogecoin USD,0.060508,-0.000244,-0.40%,8.028B,234.367M,234.367M,234.367M,132.671B
10,2022-09-30 12:27:10,Select DOT-USDDOT-USD,Polkadot USD,6.4162,-0.0330,-0.51%,7.197B,284.403M,284.403M,284.403M,1.122B
11,2022-09-30 12:27:10,Select DAI-USDDAI-USD,Dai USD,0.999853,-0.000333,-0.03%,6.87B,437.431M,437.431M,437.431M,6.871B
12,2022-09-30 12:27:11,Select MATIC-USDMATIC-USD,Polygon USD,0.776764,+0.026611,+3.55%,6.785B,333.078M,333.078M,333.078M,8.734B
13,2022-09-30 12:27:11,Select WTRX-USDWTRX-USD,Wrapped TRON USD,0.061017,+0.000997,+1.66%,6.204B,1.325M,1.325M,1.325M,101.676B
14,2022-09-30 12:27:11,Select SHIB-USDSHIB-USD,Shiba Inu USD,0.000011,-0.000000,-0.31%,6.112B,180.348M,180.348M,180.348M,549.063T
15,2022-09-30 12:27:11,Select HEX-USDHEX-USD,HEX USD,0.033699,-0.000185,-0.55%,5.844B,3.863M,3.863M,3.863M,173.411B
16,2022-09-30 12:27:11,Select TRX-USDTRX-USD,TRON USD,0.061054,+0.000859,+1.43%,5.638B,449.718M,449.718M,449.718M,92.344B
17,2022-09-30 12:27:11,Select AVAX-USDAVAX-USD,Avalanche USD,17.28,-0.00,-0.02%,5.114B,226.541M,226.541M,226.541M,295.926M
18,2022-09-30 12:27:12,Select UNI1-USDUNI1-USD,Uniswap USD,6.3138,-0.1472,-2.28%,4.812B,122.962M,122.962M,122.962M,762.209M
19,2022-09-30 12:27:12,Select WBTC-USDWBTC-USD,Wrapped Bitcoin USD,"19,401.48",-111.29,-0.57%,4.757B,148.751M,148.751M,148.751M,"245,206"
20,2022-09-30 12:27:12,Select STETH-USDSTETH-USD,Lido Staked ETH USD,"1,324.74",-13.31,-0.99%,4.62B,12.134M,12.134M,12.134M,3.488M
21,2022-09-30 12:27:12,Select YOUC-USDYOUC-USD,yOUcash USD,0.511437,+0.000049,+0.01%,4.407B,"923,039","923,039","923,039",8.617B
22,2022-09-30 12:27:12,Select LEO-USDLEO-USD,UNUS SED LEO USD,4.5163,+0.4095,+9.97%,4.308B,3.032M,3.032M,3.032M,953.954M
23,2022-09-30 12:27:13,Select LINK-USDLINK-USD,Chainlink USD,7.8088,+0.0419,+0.54%,3.839B,552.096M,552.096M,552.096M,491.6M
24,2022-09-30 12:27:13,Select LTC-USDLTC-USD,Litecoin USD,53.71,+0.22,+0.42%,3.828B,405.375M,405.375M,405.375M,71.279M
25,2022-09-30 12:27:13,Select ETC-USDETC-USD,Ethereum Classic USD,27.70,-0.03,-0.10%,3.799B,434.02M,434.02M,434.02M,137.129M
26,2022-09-30 12:27:13,Select ATOM-USDATOM-USD,Cosmos USD,12.82,-0.21,-1.59%,3.671B,362.109M,362.109M,362.109M,286.37M
27,2022-09-30 12:27:13,Select FTT-USDFTT-USD,FTX Token USD,24.26,-0.02,-0.07%,3.25B,75.37M,75.37M,75.37M,133.975M
28,2022-09-30 12:27:14,Select XLM-USDXLM-USD,Stellar USD,0.114066,+0.005343,+4.91%,2.907B,227.946M,227.946M,227.946M,25.481B
29,2022-09-30 12:27:14,Select NEAR-USDNEAR-USD,NEAR Protocol USD,3.5771,-0.0198,-0.55%,2.816B,150.891M,150.891M,150.891M,787.2M
30,2022-09-30 12:27:14,Select CRO-USDCRO-USD,Cronos USD,0.111111,-0.000740,-0.66%,2.807B,21.63M,21.63M,21.63M,25.263B
31,2022-09-30 12:27:14,Select XMR-USDXMR-USD,Monero USD,148.05,-0.21,-0.14%,2.692B,79.105M,79.105M,79.105M,18.181M
32,2022-09-30 12:27:14,Select ALGO-USDALGO-USD,Algorand USD,0.351575,-0.002475,-0.70%,2.437B,160.229M,160.229M,160.229M,6.931B
33,2022-09-30 12:27:14,Select BCH-USDBCH-USD,Bitcoin Cash USD,116.99,+1.95,+1.69%,2.245B,283.112M,283.112M,283.112M,19.188M
34,2022-09-30 12:27:15,Select BTCB-USDBTCB-USD,Bitcoin BEP2 USD,"19,406.41",-133.21,-0.68%,2.045B,10.342M,10.342M,10.342M,"105,362"
35,2022-09-30 12:27:15,Select FLOW-USDFLOW-USD,Flow USD,1.7169,+0.0656,+3.97%,1.779B,140.713M,140.713M,140.713M,1.036B
36,2022-09-30 12:27:15,Select LUNA1-USDLUNA1-USD,Terra Classic USD,0.000288,+0.000007,+2.34%,1.77B,494.801M,494.801M,494.801M,6.151T
37,2022-09-30 12:27:15,Select VET-USDVET-USD,VeChain USD,0.023269,+0.000318,+1.39%,1.687B,62.941M,62.941M,62.941M,72.511B
38,2022-09-30 12:27:15,Select FIL-USDFIL-USD,Filecoin USD,5.7383,-0.1164,-1.99%,1.673B,149.125M,149.125M,149.125M,291.513M
39,2022-09-30 12:27:16,Select APE3-USDAPE3-USD,ApeCoin USD,5.3905,-0.0107,-0.20%,1.654B,145.506M,145.506M,145.506M,306.875M
40,2022-09-30 12:27:16,Select QNT-USDQNT-USD,Quant USD,135.23,+2.15,+1.62%,1.633B,82.992M,82.992M,82.992M,12.073M
41,2022-09-30 12:27:16,Select ICP-USDICP-USD,Internet Computer USD,6.1339,+0.0565,+0.93%,1.609B,45.511M,45.511M,45.511M,262.243M
42,2022-09-30 12:27:16,Select XCN1-USDXCN1-USD,Chain USD,0.073917,-0.000219,-0.29%,1.587B,13.955M,13.955M,13.955M,21.473B
43,2022-09-30 12:27:16,Select TONCOIN-USDTONCOIN-USD,Toncoin USD,1.2882,-0.0336,-2.55%,1.573B,13.876M,13.876M,13.876M,1.221B
44,2022-09-30 12:27:17,Select CHZ-USDCHZ-USD,Chiliz USD,0.237706,+0.000734,+0.31%,1.426B,301.597M,301.597M,301.597M,6B
45,2022-09-30 12:27:17,Select FRAX-USDFRAX-USD,Frax USD,0.995419,-0.000196,-0.02%,1.35B,11.733M,11.733M,11.733M,1.356B
46,2022-09-30 12:27:17,Select HBAR-USDHBAR-USD,Hedera USD,0.057622,-0.000262,-0.45%,1.323B,33.858M,33.858M,33.858M,22.968B
47,2022-09-30 12:27:17,Select XTZ-USDXTZ-USD,Tezos USD,1.4429,+0.0038,+0.27%,1.314B,26.174M,26.174M,26.174M,910.762M
48,2022-09-30 12:27:17,Select MANA-USDMANA-USD,Decentraland USD,0.706834,+0.002199,+0.31%,1.311B,105.343M,105.343M,105.343M,1.855B
49,2022-09-30 12:27:18,Select SAND-USDSAND-USD,The Sandbox USD,0.851468,+0.001291,+0.15%,1.277B,145.768M,145.768M,145.768M,1.499B
50,2022-09-30 12:27:18,Select WBNB-USDWBNB-USD,Wrapped BNB USD,283.78,-1.25,-0.44%,1.205B,87.289M,87.289M,87.289M,4.245M
51,2022-09-30 12:27:18,Select EOS-USDEOS-USD,EOS USD,1.1979,+0.0265,+2.26%,1.2B,319.264M,319.264M,319.264M,1.002B
52,2022-09-30 12:27:18,Select EGLD-USDEGLD-USD,Elrond USD,48.42,+0.88,+1.86%,1.137B,41.515M,41.515M,41.515M,23.481M
53,2022-09-30 12:27:18,Select THETA-USDTHETA-USD,Theta Network USD,1.0868,-0.0015,-0.14%,1.087B,22.309M,22.309M,22.309M,1B
54,2022-09-30 12:27:19,Select AAVE-USDAAVE-USD,Aave USD,76.56,-0.65,-0.84%,1.079B,78.794M,78.794M,78.794M,14.093M
55,2022-09-30 12:27:19,Select AXS-USDAXS-USD,Axie Infinity USD,12.69,+0.24,+1.93%,1.054B,55.76M,55.76M,55.76M,83.056M
56,2022-09-30 12:27:19,Select BIT1-USDBIT1-USD,BitDAO USD,0.474278,-0.005440,-1.13%,991.69M,27.081M,27.081M,27.081M,2.091B
57,2022-09-30 12:27:19,Select OKB-USDOKB-USD,OKB USD,16.09,+0.64,+4.12%,965.19M,23.423M,23.423M,23.423M,60M
58,2022-09-30 12:27:20,Select USDP-USDUSDP-USD,Pax Dollar USD,0.999120,-0.001209,-0.12%,944.811M,82.467M,82.467M,82.467M,945.643M
59,2022-09-30 12:27:20,Select BSV-USDBSV-USD,Bitcoin SV USD,48.85,-1.31,-2.61%,937.123M,63.772M,63.772M,63.772M,19.184M
60,2022-09-30 12:27:20,Select KCS-USDKCS-USD,KuCoin Token USD,9.2342,+0.0220,+0.24%,908.456M,1.884M,1.884M,1.884M,98.38M
61,2022-09-30 12:27:20,Select TUSD-USDTUSD-USD,TrueUSD USD,1.0003,+0.0002,+0.02%,880.154M,67.288M,67.288M,67.288M,879.894M
62,2022-09-30 12:27:20,Select ZEC-USDZEC-USD,Zcash USD,56.22,+0.50,+0.89%,864.317M,41.699M,41.699M,41.699M,15.374M
