,date_scraped,symbol,name,price,change,change_perc,market_cap,vol_utc,vol_24,total_vol,circ_supply
0,2022-10-20 09:46:51,BTC-USD,Bitcoin USD,"19,036.02",-280.95,-1.45%,365.187B,22.954B,22.954B,22.954B,19.184M
1,2022-10-20 09:46:54,ETH-USD,Ethereum USD,"1,279.94",-27.59,-2.11%,156.632B,8.598B,8.598B,8.598B,122.374M
2,2022-10-20 09:46:54,USDT-USD,Tether USD,0.999991,-0.000072,-0.01%,68.452B,33.03B,33.03B,33.03B,68.453B
3,2022-10-20 09:46:55,USDC-USD,USD Coin USD,0.999977,-0.000084,-0.01%,44.374B,2.59B,2.59B,2.59B,44.375B
4,2022-10-20 09:46:55,BNB-USD,BNB USD,270.53,-2.25,-0.82%,43.555B,519.039M,519.039M,519.039M,161.001M
5,2022-10-20 09:46:55,XRP-USD,XRP USD,0.459355,-0.003559,-0.77%,22.916B,1.486B,1.486B,1.486B,49.887B
6,2022-10-20 09:46:55,BUSD-USD,Binance USD USD,1.0002,-0.0001,-0.01%,21.631B,5.827B,5.827B,5.827B,21.628B
7,2022-10-20 09:46:55,ADA-USD,Cardano USD,0.350334,-0.010460,-2.90%,12.014B,438.976M,438.976M,438.976M,34.292B
8,2022-10-20 09:46:55,SOL-USD,Solana USD,28.85,-1.33,-4.42%,10.331B,736.347M,736.347M,736.347M,358.114M
9,2022-10-20 09:46:56,DOGE-USD,Dogecoin USD,0.058866,-0.001159,-1.93%,7.81B,293.072M,293.072M,293.072M,132.671B
10,2022-10-20 09:46:56,MATIC-USD,Polygon USD,0.829813,-0.034007,-3.94%,7.248B,444.302M,444.302M,444.302M,8.734B
11,2022-10-20 09:46:56,DOT-USD,Polkadot USD,6.0543,-0.0912,-1.48%,6.83B,214.589M,214.589M,214.589M,1.128B
12,2022-10-20 09:46:56,DAI-USD,Dai USD,0.999957,-0.000132,-0.01%,6.335B,219.185M,219.185M,219.185M,6.335B
13,2022-10-20 09:46:56,WTRX-USD,Wrapped TRON USD,0.061795,-0.000790,-1.26%,6.283B,"867,808","867,808","867,808",101.676B
14,2022-10-20 09:46:57,TRX-USD,TRON USD,0.061843,-0.000711,-1.14%,5.708B,377.937M,377.937M,377.937M,92.302B
15,2022-10-20 09:46:57,HEX-USD,HEX USD,0.031759,-0.000575,-1.78%,5.507B,3.501M,3.501M,3.501M,173.411B
16,2022-10-20 09:46:57,SHIB-USD,Shiba Inu USD,0.00000990,-0.00000025,-2.43%,5.438B,147.363M,147.363M,147.363M,549.063T
17,2022-10-20 09:46:57,UNI7083-USD,Uniswap USD,6.4269,-0.1251,-1.91%,4.899B,166.366M,166.366M,166.366M,762.209M
