,date_scraped,symbol,name,price,change,change_perc,market_cap,vol_utc,vol_24,total_vol,circ_supply
0,2022-11-17 17:34:57,BTC-USD,Bitcoin USD,"16,554.50",-153.14,-0.92%,318.006B,32.64B,32.64B,32.64B,19.21M
1,2022-11-17 17:34:58,ETH-USD,Ethereum USD,"1,198.25",-32.61,-2.65%,146.634B,11.524B,11.524B,11.524B,122.374M
2,2022-11-17 17:34:58,USDT-USD,Tether USD,0.999570,+0.000239,+0.02%,65.916B,43.232B,43.232B,43.232B,65.945B
3,2022-11-17 17:34:58,USDC-USD,USD Coin USD,0.999957,+0.000109,+0.01%,44.347B,3.818B,3.818B,3.818B,44.349B
4,2022-11-17 17:34:58,BNB-USD,BNB USD,267.89,-5.36,-1.96%,42.856B,907.306M,907.306M,907.306M,159.974M
5,2022-11-17 17:34:58,BUSD-USD,Binance USD USD,1.0003,-0.0002,-0.02%,23.044B,6.872B,6.872B,6.872B,23.037B
6,2022-11-17 17:34:58,XRP-USD,XRP USD,0.376256,-0.005633,-1.47%,18.9B,1.366B,1.366B,1.366B,50.232B
7,2022-11-17 17:34:59,DOGE-USD,Dogecoin USD,0.084987,-0.002248,-2.58%,11.275B,544.374M,544.374M,544.374M,132.671B
8,2022-11-17 17:34:59,ADA-USD,Cardano USD,0.325770,-0.009147,-2.73%,11.209B,266.763M,266.763M,266.763M,34.409B
9,2022-11-17 17:34:59,MATIC-USD,Polygon USD,0.882073,-0.039603,-4.30%,7.704B,522.162M,522.162M,522.162M,8.734B
10,2022-11-17 17:34:59,DOT-USD,Polkadot USD,5.6536,-0.1874,-3.21%,6.423B,172.053M,172.053M,172.053M,1.136B
11,2022-11-17 17:34:59,DAI-USD,Dai USD,0.999514,+0.000080,+0.01%,5.893B,373.436M,373.436M,373.436M,5.896B
12,2022-11-17 17:34:59,HEX-USD,HEX USD,0.032214,-0.000591,-1.80%,5.586B,4.521M,4.521M,4.521M,173.411B
13,2022-11-17 17:35:00,SOL-USD,Solana USD,14.15,-0.00,-0.02%,5.127B,447.868M,447.868M,447.868M,362.337M
14,2022-11-17 17:35:00,WTRX-USD,Wrapped TRON USD,0.049785,-0.000932,-1.84%,5.062B,1.624M,1.624M,1.624M,101.676B
15,2022-11-17 17:35:00,SHIB-USD,Shiba Inu USD,0.00000909,-0.00000023,-2.52%,4.991B,161.68M,161.68M,161.68M,549.063T
16,2022-11-17 17:35:00,TRX-USD,TRON USD,0.049561,-0.001125,-2.22%,4.569B,360.854M,360.854M,360.854M,92.19B
17,2022-11-17 17:35:00,UNI7083-USD,Uniswap USD,5.8921,-0.1575,-2.60%,4.491B,111.375M,111.375M,111.375M,762.209M
18,2022-11-17 17:35:00,LTC-USD,Litecoin USD,58.66,+0.86,+1.50%,4.202B,638.617M,638.617M,638.617M,71.63M
19,2022-11-17 17:35:01,STETH-USD,Lido Staked ETH USD,"1,183.96",-34.87,-2.86%,4.129B,"298,528","298,528","298,528",3.488M
20,2022-11-17 17:35:01,AVAX-USD,Avalanche USD,13.07,-0.16,-1.18%,3.927B,144.866M,144.866M,144.866M,300.553M
21,2022-11-17 17:35:01,WBTC-USD,Wrapped Bitcoin USD,"16,496.40",-159.80,-0.96%,3.913B,133.483M,133.483M,133.483M,"237,193"
22,2022-11-17 17:35:01,LEO-USD,UNUS SED LEO USD,3.9812,+0.1772,+4.66%,3.798B,4.06M,4.06M,4.06M,953.954M
23,2022-11-17 17:35:01,LINK-USD,Chainlink USD,6.1633,-0.1492,-2.36%,3.03B,305.056M,305.056M,305.056M,491.6M
24,2022-11-17 17:35:01,ATOM-USD,Cosmos USD,10.08,-0.18,-1.71%,2.887B,120.436M,120.436M,120.436M,286.37M
25,2022-11-17 17:35:02,ETC-USD,Ethereum Classic USD,19.58,-0.56,-2.80%,2.701B,242.684M,242.684M,242.684M,137.938M
26,2022-11-17 17:35:02,XMR-USD,Monero USD,132.76,+3.65,+2.83%,2.417B,73.485M,73.485M,73.485M,18.202M
27,2022-11-17 17:35:02,XLM-USD,Stellar USD,0.090133,-0.001847,-2.01%,2.315B,67.475M,67.475M,67.475M,25.679B
28,2022-11-17 17:35:02,TON11419-USD,Toncoin USD,1.6940,+0.0150,+0.89%,2.069B,9.31M,9.31M,9.31M,1.221B
29,2022-11-17 17:35:02,BCH-USD,Bitcoin Cash USD,102.93,-1.07,-1.03%,1.979B,254.116M,254.116M,254.116M,19.231M
30,2022-11-17 17:35:03,ALGO-USD,Algorand USD,0.270495,-0.009059,-3.24%,1.922B,160.501M,160.501M,160.501M,7.105B
31,2022-11-17 17:35:03,CRO-USD,Cronos USD,0.070002,-0.001430,-2.00%,1.768B,50.086M,50.086M,50.086M,25.263B
32,2022-11-17 17:35:03,BTCB-USD,Bitcoin BEP2 USD,"16,521.66",-177.56,-1.06%,1.709B,4.751M,4.751M,4.751M,"103,436"
33,2022-11-17 17:35:03,NEAR-USD,NEAR Protocol USD,1.8642,-0.0884,-4.53%,1.543B,84.285M,84.285M,84.285M,827.549M
