,date_scraped,symbol,name,price,change,change_perc,market_cap,vol_utc,vol_24,total_vol,circ_supply
0,2022-11-10 12:09:59,BTC-USD,Bitcoin USD,"16,333.92","-1,931.13",-10.57%,313.663B,106.397B,106.397B,106.397B,19.203M
1,2022-11-10 12:09:59,ETH-USD,Ethereum USD,"1,161.55",-144.36,-11.05%,142.144B,40.006B,40.006B,40.006B,122.374M
2,2022-11-10 12:09:59,USDT-USD,Tether USD,0.997641,-0.002167,-0.22%,69.449B,146.98B,146.98B,146.98B,69.613B
3,2022-11-10 12:10:00,BNB-USD,BNB USD,282.39,-37.38,-11.69%,45.176B,3.137B,3.137B,3.137B,159.976M
4,2022-11-10 12:10:00,USDC-USD,USD Coin USD,1.0006,+0.0006,+0.06%,42.939B,11.139B,11.139B,11.139B,42.914B
5,2022-11-10 12:10:00,BUSD-USD,Binance USD USD,1.0017,+0.0012,+0.12%,22.959B,20.404B,20.404B,20.404B,22.919B
6,2022-11-10 12:10:00,XRP-USD,XRP USD,0.349876,-0.038851,-9.99%,17.569B,3.714B,3.714B,3.714B,50.215B
7,2022-11-10 12:10:01,ADA-USD,Cardano USD,0.342507,-0.020260,-5.58%,11.765B,1.628B,1.628B,1.628B,34.35B
8,2022-11-10 12:10:01,DOGE-USD,Dogecoin USD,0.079914,-0.004738,-5.60%,10.602B,2.848B,2.848B,2.848B,132.671B
9,2022-11-10 12:10:01,MATIC-USD,Polygon USD,0.87272,-0.10348,-10.60%,7.623B,1.68B,1.68B,1.68B,8.734B
10,2022-11-10 12:10:01,DOT-USD,Polkadot USD,5.5710,-0.5770,-9.39%,6.318B,793M,793M,793M,1.134B
11,2022-11-10 12:10:02,DAI-USD,Dai USD,1.0001,+0.0012,+0.12%,5.897B,995.791M,995.791M,995.791M,5.896B
12,2022-11-10 12:10:02,WTRX-USD,Wrapped TRON USD,0.055005,-0.003407,-5.83%,5.593B,19.062M,19.062M,19.062M,101.676B
13,2022-11-10 12:10:02,HEX-USD,HEX USD,0.032013,-0.001178,-3.55%,5.551B,10.551M,10.551M,10.551M,173.411B
14,2022-11-10 12:10:02,SOL-USD,Solana USD,14.97,-6.87,-31.45%,5.425B,4.938B,4.938B,4.938B,362.331M
15,2022-11-10 12:10:03,SHIB-USD,Shiba Inu USD,0.00000954,-0.00000049,-4.87%,5.241B,680.095M,680.095M,680.095M,549.063T
16,2022-11-10 12:10:03,TRX-USD,TRON USD,0.055124,-0.003202,-5.49%,5.084B,2.004B,2.004B,2.004B,92.221B
17,2022-11-10 12:10:03,AVAX-USD,Avalanche USD,13.47,-1.89,-12.33%,4.036B,776.637M,776.637M,776.637M,299.748M
18,2022-11-10 12:10:03,STETH-USD,Lido Staked ETH USD,"1,148.36",-138.00,-10.73%,4.005B,2.751M,2.751M,2.751M,3.488M
19,2022-11-10 12:10:04,UNI7083-USD,Uniswap USD,5.1995,-0.8656,-14.27%,3.963B,334.611M,334.611M,334.611M,762.209M
20,2022-11-10 12:10:04,WBTC-USD,Wrapped Bitcoin USD,"16,311.61","-1,929.42",-10.58%,3.955B,480.328M,480.328M,480.328M,"242,479"
21,2022-11-10 12:10:04,LEO-USD,UNUS SED LEO USD,4.0392,-0.0722,-1.76%,3.853B,4.785M,4.785M,4.785M,953.954M
22,2022-11-10 12:10:04,LTC-USD,Litecoin USD,53.18,-6.05,-10.21%,3.806B,1.738B,1.738B,1.738B,71.578M
23,2022-11-10 12:10:05,LINK-USD,Chainlink USD,6.6098,-0.6606,-9.09%,3.249B,1.393B,1.393B,1.393B,491.6M
