,date_scraped,symbol,name,price,change,change_perc,market_cap,vol_utc,vol_24,total_vol,circ_supply
0,2022-09-29 13:02:35,Select BTC-USDBTC-USD,Bitcoin USD,"19,587.20",+815.94,+4.35%,375.359B,50.464B,50.464B,50.464B,19.163M
1,2022-09-29 13:02:35,Select ETH-USDETH-USD,Ethereum USD,"1,342.35",+58.14,+4.53%,164.534B,16.974B,16.974B,16.974B,122.572M
2,2022-09-29 13:02:36,Select USDT-USDUSDT-USD,Tether USD,1.0000,+0.0001,+0.01%,67.957B,61.781B,61.781B,61.781B,67.956B
3,2022-09-29 13:02:36,Select USDC-USDUSDC-USD,USD Coin USD,1.0003,+0.0001,+0.01%,48.881B,4.506B,4.506B,4.506B,48.868B
4,2022-09-29 13:02:36,Select BNB-USDBNB-USD,BNB USD,284.70,+14.43,+5.34%,45.932B,829.062M,829.062M,829.062M,161.337M
5,2022-09-29 13:02:36,Select XRP-USDXRP-USD,XRP USD,0.443702,+0.016636,+3.90%,22.141B,2.303B,2.303B,2.303B,49.901B
6,2022-09-29 13:02:36,Select BUSD-USDBUSD-USD,Binance USD USD,1.0002,+0.0000,+0.00%,21.047B,8.379B,8.379B,8.379B,21.042B
7,2022-09-29 13:02:36,Select ADA-USDADA-USD,Cardano USD,0.437507,+0.006793,+1.58%,14.98B,535.062M,535.062M,535.062M,34.24B
8,2022-09-29 13:02:37,Select SOL-USDSOL-USD,Solana USD,33.81,+1.39,+4.30%,11.994B,950.189M,950.189M,950.189M,354.781M
9,2022-09-29 13:02:37,Select DOGE-USDDOGE-USD,Dogecoin USD,0.060807,+0.001398,+2.35%,8.067B,235.61M,235.61M,235.61M,132.671B
10,2022-09-29 13:02:37,Select DOT-USDDOT-USD,Polkadot USD,6.4522,+0.1840,+2.94%,7.235B,268.569M,268.569M,268.569M,1.121B
11,2022-09-29 13:02:37,Select DAI-USDDAI-USD,Dai USD,0.999964,+0.000448,+0.04%,6.864B,401.119M,401.119M,401.119M,6.865B
12,2022-09-29 13:02:37,Select MATIC-USDMATIC-USD,Polygon USD,0.749075,+0.022662,+3.12%,6.543B,301.852M,301.852M,301.852M,8.734B
13,2022-09-29 13:02:37,Select SHIB-USDSHIB-USD,Shiba Inu USD,0.000011,+0.000000,+2.51%,6.146B,236.201M,236.201M,236.201M,549.063T
14,2022-09-29 13:02:37,Select WTRX-USDWTRX-USD,Wrapped TRON USD,0.060156,+0.001413,+2.41%,6.116B,"632,512","632,512","632,512",101.676B
15,2022-09-29 13:02:38,Select HEX-USDHEX-USD,HEX USD,0.034106,+0.001389,+4.24%,5.914B,4.167M,4.167M,4.167M,173.411B
16,2022-09-29 13:02:38,Select TRX-USDTRX-USD,TRON USD,0.060320,+0.001445,+2.45%,5.57B,342.749M,342.749M,342.749M,92.345B
17,2022-09-29 13:02:38,Select AVAX-USDAVAX-USD,Avalanche USD,17.29,+0.26,+1.53%,5.116B,223.583M,223.583M,223.583M,295.922M
18,2022-09-29 13:02:38,Select UNI1-USDUNI1-USD,Uniswap USD,6.5145,+0.3149,+5.08%,4.965B,152.106M,152.106M,152.106M,762.209M
19,2022-09-29 13:02:38,Select WBTC-USDWBTC-USD,Wrapped Bitcoin USD,"19,560.28",+804.87,+4.29%,4.796B,170.149M,170.149M,170.149M,"245,206"
20,2022-09-29 13:02:38,Select STETH-USDSTETH-USD,Lido Staked ETH USD,"1,338.03",+59.66,+4.67%,4.667B,13.542M,13.542M,13.542M,3.488M
21,2022-09-29 13:02:39,Select YOUC-USDYOUC-USD,yOUcash USD,0.511403,+0.000008,+0.00%,4.407B,"779,471","779,471","779,471",8.617B
22,2022-09-29 13:02:39,Select LEO-USDLEO-USD,UNUS SED LEO USD,4.1056,-0.0489,-1.18%,3.917B,2.743M,2.743M,2.743M,953.954M
23,2022-09-29 13:02:39,Select LTC-USDLTC-USD,Litecoin USD,53.83,+1.79,+3.43%,3.837B,424.251M,424.251M,424.251M,71.273M
24,2022-09-29 13:02:39,Select LINK-USDLINK-USD,Chainlink USD,7.7717,-0.2332,-2.91%,3.821B,1.109B,1.109B,1.109B,491.6M
25,2022-09-29 13:02:39,Select ETC-USDETC-USD,Ethereum Classic USD,27.65,+0.57,+2.10%,3.791B,434.213M,434.213M,434.213M,137.112M
26,2022-09-29 13:02:39,Select ATOM-USDATOM-USD,Cosmos USD,13.00,-0.00,-0.01%,3.723B,470.631M,470.631M,470.631M,286.37M
27,2022-09-29 13:02:40,Select FTT-USDFTT-USD,FTX Token USD,24.24,+1.12,+4.82%,3.248B,76.438M,76.438M,76.438M,133.975M
28,2022-09-29 13:02:40,Select NEAR-USDNEAR-USD,NEAR Protocol USD,3.6007,+0.0839,+2.38%,2.834B,150.396M,150.396M,150.396M,787.2M
29,2022-09-29 13:02:40,Select CRO-USDCRO-USD,Cronos USD,0.111924,+0.002390,+2.18%,2.828B,22.153M,22.153M,22.153M,25.263B
30,2022-09-29 13:02:40,Select XLM-USDXLM-USD,Stellar USD,0.108985,+0.001045,+0.97%,2.776B,133.221M,133.221M,133.221M,25.473B
31,2022-09-29 13:02:40,Select XMR-USDXMR-USD,Monero USD,147.92,+5.40,+3.79%,2.689B,75.295M,75.295M,75.295M,18.181M
