,date_scraped,symbol,name,price,change,change_perc,market_cap,vol_utc,vol_24,total_vol,circ_supply
0,2022-10-06 10:05:22,BTC-USD,Bitcoin USD,"20,377.38",+151.38,+0.75%,390.644B,34.489B,34.489B,34.489B,19.17M
1,2022-10-06 10:05:25,ETH-USD,Ethereum USD,"1,379.00",+23.41,+1.73%,169.162B,10.633B,10.633B,10.633B,122.67M
2,2022-10-06 10:05:25,USDT-USD,Tether USD,1.0001,-0.0001,-0.01%,68.221B,43.577B,43.577B,43.577B,68.213B
3,2022-10-06 10:05:25,BNB-USD,BNB USD,297.22,+2.02,+0.69%,47.953B,695.309M,695.309M,695.309M,161.337M
4,2022-10-06 10:05:25,USDC-USD,USD Coin USD,1.0002,+0.0002,+0.02%,46.435B,3.818B,3.818B,3.818B,46.428B
5,2022-10-06 10:05:25,XRP-USD,XRP USD,0.496827,+0.022058,+4.65%,24.771B,2.525B,2.525B,2.525B,49.859B
6,2022-10-06 10:05:26,BUSD-USD,Binance USD USD,0.999489,-0.000637,-0.06%,21.031B,6.822B,6.822B,6.822B,21.042B
7,2022-10-06 10:05:26,ADA-USD,Cardano USD,0.436459,+0.002226,+0.51%,14.952B,460.545M,460.545M,460.545M,34.259B
8,2022-10-06 10:05:26,SOL-USD,Solana USD,34.46,+0.43,+1.25%,12.24B,695.609M,695.609M,695.609M,355.222M
9,2022-10-06 10:05:26,DOGE-USD,Dogecoin USD,0.065293,-0.000117,-0.18%,8.662B,551.476M,551.476M,551.476M,132.671B
10,2022-10-06 10:05:26,MATIC-USD,Polygon USD,0.853828,+0.010932,+1.30%,7.458B,405.254M,405.254M,405.254M,8.734B
11,2022-10-06 10:05:26,DOT-USD,Polkadot USD,6.5126,+0.0552,+0.85%,7.318B,197.91M,197.91M,197.91M,1.124B
12,2022-10-06 10:05:26,DAI-USD,Dai USD,1.0008,+0.0008,+0.08%,6.801B,296.125M,296.125M,296.125M,6.796B
13,2022-10-06 10:05:27,SHIB-USD,Shiba Inu USD,0.000012,-0.000000,-1.53%,6.337B,250.755M,250.755M,250.755M,549.063T
14,2022-10-06 10:05:27,WTRX-USD,Wrapped TRON USD,0.062218,-0.000018,-0.03%,6.326B,"547,548","547,548","547,548",101.676B
15,2022-10-06 10:05:27,HEX-USD,HEX USD,0.033627,-0.000932,-2.70%,5.831B,5.772M,5.772M,5.772M,173.411B
16,2022-10-06 10:05:27,TRX-USD,TRON USD,0.062431,+0.000060,+0.10%,5.765B,307.103M,307.103M,307.103M,92.336B
17,2022-10-06 10:05:27,UNI1-USD,Uniswap USD,6.9783,+0.3307,+4.98%,5.319B,118.704M,118.704M,118.704M,762.209M
18,2022-10-06 10:05:27,AVAX-USD,Avalanche USD,17.62,+0.28,+1.62%,5.218B,190.622M,190.622M,190.622M,296.095M
19,2022-10-06 10:05:27,WBTC-USD,Wrapped Bitcoin USD,"20,362.73",+130.71,+0.65%,4.986B,111.362M,111.362M,111.362M,"244,856"
20,2022-10-06 10:05:28,STETH-USD,Lido Staked ETH USD,"1,372.04",+23.11,+1.71%,4.785B,3.374M,3.374M,3.374M,3.488M
21,2022-10-06 10:05:28,YOUC-USD,yOUcash USD,0.511475,-0.000036,-0.01%,4.408B,"642,313","642,313","642,313",8.617B
22,2022-10-06 10:05:28,LEO-USD,UNUS SED LEO USD,4.2195,-0.0057,-0.13%,4.025B,2.98M,2.98M,2.98M,953.954M
23,2022-10-06 10:05:28,ETC-USD,Ethereum Classic USD,28.75,+0.92,+3.32%,3.945B,358.54M,358.54M,358.54M,137.228M
24,2022-10-06 10:05:28,LTC-USD,Litecoin USD,54.97,+0.13,+0.23%,3.92B,344.374M,344.374M,344.374M,71.322M
25,2022-10-06 10:05:28,LINK-USD,Chainlink USD,7.9072,+0.1014,+1.30%,3.887B,498.385M,498.385M,498.385M,491.6M
26,2022-10-06 10:05:29,ATOM-USD,Cosmos USD,13.17,+0.21,+1.66%,3.772B,242.555M,242.555M,242.555M,286.37M
27,2022-10-06 10:05:29,FTT-USD,FTX Token USD,25.07,+0.08,+0.30%,3.358B,49.002M,49.002M,49.002M,133.975M
28,2022-10-06 10:05:29,XLM-USD,Stellar USD,0.119825,+0.002001,+1.70%,3.055B,138.785M,138.785M,138.785M,25.495B
29,2022-10-06 10:05:29,NEAR-USD,NEAR Protocol USD,3.7549,+0.1347,+3.72%,3.008B,239.955M,239.955M,239.955M,801.197M
