,date_scraped,symbol,name,price,change,change_perc,market_cap,vol_utc,vol_24,total_vol,circ_supply
0,2022-10-14 08:42:05,BTC-USD,Bitcoin USD,"19,424.54",+266.45,+1.39%,372.532B,44.607B,44.607B,44.607B,19.178M
1,2022-10-14 08:42:07,ETH-USD,Ethereum USD,"1,290.65",-5.13,-0.40%,158.472B,17.628B,17.628B,17.628B,122.784M
2,2022-10-14 08:42:07,USDT-USD,Tether USD,1.0001,+0.0001,+0.01%,68.428B,60.894B,60.894B,60.894B,68.422B
3,2022-10-14 08:42:07,USDC-USD,USD Coin USD,1.0001,+0.0001,+0.01%,45.459B,4.899B,4.899B,4.899B,45.455B
4,2022-10-14 08:42:08,BNB-USD,BNB USD,272.37,+0.86,+0.32%,43.943B,1.132B,1.132B,1.132B,161.337M
5,2022-10-14 08:42:08,XRP-USD,XRP USD,0.482853,-0.004760,-0.98%,24.125B,2.865B,2.865B,2.865B,49.964B
6,2022-10-14 08:42:08,BUSD-USD,Binance USD USD,1.0003,+0.0001,+0.01%,21.634B,8.536B,8.536B,8.536B,21.628B
7,2022-10-14 08:42:08,ADA-USD,Cardano USD,0.378945,-0.002619,-0.69%,12.99B,1.063B,1.063B,1.063B,34.279B
8,2022-10-14 08:42:08,SOL-USD,Solana USD,30.56,-0.59,-1.88%,10.936B,1.314B,1.314B,1.314B,357.886M
9,2022-10-14 08:42:08,DOGE-USD,Dogecoin USD,0.059866,+0.000040,+0.07%,7.942B,468.785M,468.785M,468.785M,132.671B
10,2022-10-14 08:42:08,DOT-USD,Polkadot USD,6.1199,-0.0563,-0.91%,6.892B,344.06M,344.06M,344.06M,1.126B
11,2022-10-14 08:42:09,MATIC-USD,Polygon USD,0.777566,-0.007268,-0.93%,6.792B,439.337M,439.337M,439.337M,8.734B
12,2022-10-14 08:42:09,DAI-USD,Dai USD,0.999983,+0.000283,+0.03%,6.495B,595.687M,595.687M,595.687M,6.495B
13,2022-10-14 08:42:09,WTRX-USD,Wrapped TRON USD,0.060934,-0.001121,-1.81%,6.195B,1.508M,1.508M,1.508M,101.676B
14,2022-10-14 08:42:09,SHIB-USD,Shiba Inu USD,0.000010,+0.000000,+2.96%,5.755B,449.339M,449.339M,449.339M,549.063T
15,2022-10-14 08:42:09,HEX-USD,HEX USD,0.032543,+0.000187,+0.58%,5.643B,5.125M,5.125M,5.125M,173.411B
16,2022-10-14 08:42:09,TRX-USD,TRON USD,0.060874,-0.001297,-2.09%,5.62B,482.297M,482.297M,482.297M,92.319B
17,2022-10-14 08:42:10,UNI1-USD,Uniswap USD,6.4318,-0.1717,-2.60%,4.902B,79.029M,79.029M,79.029M,762.209M
18,2022-10-14 08:42:10,WBTC-USD,Wrapped Bitcoin USD,"19,399.28",+243.37,+1.27%,4.743B,156.188M,156.188M,156.188M,"244,506"
19,2022-10-14 08:42:10,UNI7083-USD,Uniswap USD,6.1504,+0.1285,+2.13%,4.688B,202.93M,202.93M,202.93M,762.209M
20,2022-10-14 08:42:10,AVAX-USD,Avalanche USD,15.73,-0.25,-1.55%,4.662B,373.432M,373.432M,373.432M,296.343M
21,2022-10-14 08:42:10,STETH-USD,Lido Staked ETH USD,"1,283.99",-4.57,-0.35%,4.478B,3.449M,3.449M,3.449M,3.488M
