,date_scraped,symbol,name,price,change,change_perc,market_cap,vol_utc,vol_24,total_vol,circ_supply
0,2022-10-22 09:04:22,BTC-USD,Bitcoin USD,"19,175.54",+117.95,+0.62%,367.9B,31.988B,31.988B,31.988B,19.186M
1,2022-10-22 09:04:25,ETH-USD,Ethereum USD,"1,301.93",+17.01,+1.32%,159.323B,10.171B,10.171B,10.171B,122.374M
2,2022-10-22 09:04:25,USDT-USD,Tether USD,1.0001,+0.0001,+0.01%,68.458B,40.679B,40.679B,40.679B,68.453B
3,2022-10-22 09:04:25,USDC-USD,USD Coin USD,1.0001,+0.0001,+0.01%,43.886B,3.193B,3.193B,3.193B,43.882B
4,2022-10-22 09:04:25,BNB-USD,BNB USD,269.63,+1.77,+0.66%,43.136B,572.698M,572.698M,572.698M,159.981M
5,2022-10-22 09:04:25,XRP-USD,XRP USD,0.461806,+0.014581,+3.26%,23.038B,1.565B,1.565B,1.565B,49.887B
6,2022-10-22 09:04:26,BUSD-USD,Binance USD USD,1.0010,+0.0008,+0.08%,21.649B,5.781B,5.781B,5.781B,21.628B
7,2022-10-22 09:04:26,ADA-USD,Cardano USD,0.351070,+0.012585,+3.72%,12.043B,495.605M,495.605M,495.605M,34.302B
8,2022-10-22 09:04:26,SOL-USD,Solana USD,28.11,+0.17,+0.60%,10.069B,915.641M,915.641M,915.641M,358.244M
9,2022-10-22 09:04:26,DOGE-USD,Dogecoin USD,0.059778,+0.000572,+0.97%,7.931B,220.209M,220.209M,220.209M,132.671B
10,2022-10-22 09:04:26,MATIC-USD,Polygon USD,0.832199,+0.025838,+3.20%,7.269B,399.228M,399.228M,399.228M,8.734B
11,2022-10-22 09:04:27,DOT-USD,Polkadot USD,5.8396,-0.0114,-0.19%,6.591B,295.805M,295.805M,295.805M,1.129B
12,2022-10-22 09:04:27,WTRX-USD,Wrapped TRON USD,0.061559,-0.001161,-1.85%,6.259B,"776,476","776,476","776,476",101.676B
13,2022-10-22 09:04:27,DAI-USD,Dai USD,1.0002,+0.0002,+0.02%,6.207B,260.944M,260.944M,260.944M,6.206B
14,2022-10-22 09:04:27,TRX-USD,TRON USD,0.061468,-0.001349,-2.15%,5.673B,331.313M,331.313M,331.313M,92.294B
15,2022-10-22 09:04:27,HEX-USD,HEX USD,0.031797,+0.000070,+0.22%,5.514B,4.145M,4.145M,4.145M,173.411B
16,2022-10-22 09:04:27,SHIB-USD,Shiba Inu USD,0.000010,+0.000000,+0.90%,5.506B,164.873M,164.873M,164.873M,549.063T
17,2022-10-22 09:04:28,WBTC-USD,Wrapped Bitcoin USD,"19,161.59",+106.72,+0.56%,4.694B,83.063M,83.063M,83.063M,"244,980"
18,2022-10-22 09:04:28,AVAX-USD,Avalanche USD,15.81,+0.83,+5.57%,4.689B,222.295M,222.295M,222.295M,296.562M
19,2022-10-22 09:04:28,UNI7083-USD,Uniswap USD,6.02,-0.06,-0.92%,4.589B,158.601M,158.601M,158.601M,762.209M
20,2022-10-22 09:04:28,STETH-USD,Lido Staked ETH USD,"1,296.81",+18.39,+1.44%,4.523B,2.654M,2.654M,2.654M,3.488M
21,2022-10-22 09:04:29,LEO-USD,UNUS SED LEO USD,4.0648,-0.0206,-0.5049%,3.878B,2.542M,2.542M,2.542M,953.954M
22,2022-10-22 09:04:29,LTC-USD,Litecoin USD,51.68,+0.47,+0.92%,3.692B,367.605M,367.605M,367.605M,71.438M
23,2022-10-22 09:04:29,ATOM-USD,Cosmos USD,11.72,+0.39,+3.42%,3.355B,188.178M,188.178M,188.178M,286.37M
24,2022-10-22 09:04:30,LINK-USD,Chainlink USD,6.81,+0.17,+2.54%,3.349B,330.544M,330.544M,330.544M,491.6M
25,2022-10-22 09:04:30,ETC-USD,Ethereum Classic USD,22.08,+0.48,+2.20%,3.037B,287.685M,287.685M,287.685M,137.498M
26,2022-10-22 09:04:30,FTT-USD,FTX Token USD,22.46,+0.06,+0.27%,2.995B,40.709M,40.709M,40.709M,133.373M
27,2022-10-22 09:04:30,XLM-USD,Stellar USD,0.1108,+0.0013,+1.1614%,2.836B,88.883M,88.883M,88.883M,25.607B
28,2022-10-22 09:04:30,CRO-USD,Cronos USD,0.1061,+0.0024,+2.2926%,2.681B,19.954M,19.954M,19.954M,25.263B
29,2022-10-22 09:04:31,XMR-USD,Monero USD,140.91,-1.17,-0.82%,2.563B,80.062M,80.062M,80.062M,18.19M
30,2022-10-22 09:04:31,NEAR-USD,NEAR Protocol USD,2.8968,+0.0510,+1.79%,2.357B,148.748M,148.748M,148.748M,813.754M
31,2022-10-22 09:04:31,QNT-USD,Quant USD,186.63,+12.73,+7.32%,2.253B,234.208M,234.208M,234.208M,12.073M
32,2022-10-22 09:04:31,ALGO-USD,Algorand USD,0.3132,+0.0079,+2.6030%,2.210B,63.919M,63.919M,63.919M,7.057B
33,2022-10-22 09:04:32,BCH-USD,Bitcoin Cash USD,107.25,+1.04,+0.98%,2.060B,204.375M,204.375M,204.375M,19.207M
34,2022-10-22 09:04:32,BTCB-USD,Bitcoin BEP2 USD,"19,143.00",+93.13,+0.49%,2.017B,1.336M,1.336M,1.336M,"105,379"
35,2022-10-22 09:04:32,TON11419-USD,Toncoin USD,1.4034,+0.0660,+4.93%,1.714B,10.569M,10.569M,10.569M,1.221B
36,2022-10-22 09:04:32,VET-USD,VeChain USD,0.0225,+0.0006,+2.9457%,1.631B,45.865M,45.865M,45.865M,72.511B
37,2022-10-22 09:04:32,LUNC-USD,Terra Classic USD,0.0002,0.0000,+0.3986%,1.571B,219.284M,219.284M,219.284M,6.589T
38,2022-10-22 09:04:33,FLOW-USD,Flow USD,1.4551,+0.0304,+2.1358%,1.508B,23.752M,23.752M,23.752M,1.036B
39,2022-10-22 09:04:33,FIL-USD,Filecoin USD,4.9572,+0.0232,+0.4701%,1.502B,85.967M,85.967M,85.967M,303.08M
40,2022-10-22 09:04:33,APE18876-USD,ApeCoin USD,4.5322,+0.3584,+8.5863%,1.391B,222.108M,222.108M,222.108M,306.875M
41,2022-10-22 09:04:33,XCN18679-USD,Chain USD,0.0648,-0.0028,-4.1192%,1.392B,85.591M,85.591M,85.591M,21.473B
42,2022-10-22 09:04:34,HBAR-USD,Hedera USD,0.0596,+0.0016,+2.7276%,1.369B,32.024M,32.024M,32.024M,22.968B
43,2022-10-22 09:04:34,FRAX-USD,Frax USD,0.997568,+0.004359,+0.44%,1.362B,8.422M,8.422M,8.422M,1.365B
44,2022-10-22 09:04:34,ICP-USD,Internet Computer USD,4.9038,+0.1085,+2.2617%,1.318B,36.04M,36.04M,36.04M,268.792M
45,2022-10-22 09:04:34,EGLD-USD,Elrond USD,54.54,-3.62,-6.23%,1.287B,56.64M,56.64M,56.64M,23.59M
46,2022-10-22 09:04:35,XTZ-USD,Tezos USD,1.3423,+0.0226,+1.7137%,1.226B,18.314M,18.314M,18.314M,913.3M
47,2022-10-22 09:04:35,HT-USD,Huobi Token USD,7.75,+0.04,+0.48%,1.188B,28.452M,28.452M,28.452M,153.358M
48,2022-10-22 09:04:35,AAVE-USD,Aave USD,83.68,+2.73,+3.38%,1.179B,121.73M,121.73M,121.73M,14.093M
49,2022-10-22 09:04:35,WBNB-USD,Wrapped BNB USD,270.29,+2.54,+0.95%,1.156B,32.173M,32.173M,32.173M,4.279M
50,2022-10-22 09:04:36,MANA-USD,Decentraland USD,0.6148,+0.0175,+2.9275%,1.141B,104.013M,104.013M,104.013M,1.855B
51,2022-10-22 09:04:36,SAND-USD,The Sandbox USD,0.7439,+0.0251,+3.4972%,1.115B,117.312M,117.312M,117.312M,1.499B
52,2022-10-22 09:04:36,CHZ-USD,Chiliz USD,0.1853,+0.0176,+10.5160%,1.113B,310.767M,310.767M,310.767M,6.005B
53,2022-10-22 09:04:36,EOS-USD,EOS USD,1.0631,+0.0224,+2.1505%,1.067B,216.694M,216.694M,216.694M,1.004B
54,2022-10-22 09:04:37,THETA-USD,Theta Network USD,0.9967,+0.0201,+2.0620%,996.662M,19.916M,19.916M,19.916M,1B
