,date_scraped,symbol,name,price,change,change_perc,market_cap,vol_utc,vol_24,total_vol,circ_supply
0,2022-09-28 11:44:16,Select BTC-USDBTC-USD,Bitcoin USD,"18,726.19","-1,390.27",-6.91%,358.84B,56.989B,56.989B,56.989B,19.162M
1,2022-09-28 11:44:16,Select ETH-USDETH-USD,Ethereum USD,"1,283.60",-99.10,-7.17%,157.313B,17.883B,17.883B,17.883B,122.557M
2,2022-09-28 11:44:16,Select USDT-USDUSDT-USD,Tether USD,0.999962,-0.000032,-0.00%,67.954B,70.526B,70.526B,70.526B,67.956B
3,2022-09-28 11:44:16,Select USDC-USDUSDC-USD,USD Coin USD,1.0001,+0.0000,+0.00%,49.208B,4.813B,4.813B,4.813B,49.201B
4,2022-09-28 11:44:16,Select BNB-USDBNB-USD,BNB USD,269.38,-13.61,-4.81%,43.461B,913.518M,913.518M,913.518M,161.337M
5,2022-09-28 11:44:17,Select XRP-USDXRP-USD,XRP USD,0.425802,-0.050530,-10.61%,21.248B,2.936B,2.936B,2.936B,49.901B
6,2022-09-28 11:44:17,Select BUSD-USDBUSD-USD,Binance USD USD,1.0002,+0.0004,+0.04%,21.046B,10.265B,10.265B,10.265B,21.042B
7,2022-09-28 11:44:17,Select RVP-USDRVP-USD,Revolution Populi USD,13.67,+13.67,"+175,854.00%",16.409B,0,0,0,1.2B
8,2022-09-28 11:44:17,Select ADA-USDADA-USD,Cardano USD,0.429939,-0.028867,-6.29%,14.721B,698.874M,698.874M,698.874M,34.24B
9,2022-09-28 11:44:17,Select SOL-USDSOL-USD,Solana USD,32.34,-2.46,-7.08%,11.473B,1.149B,1.149B,1.149B,354.782M
10,2022-09-28 11:44:17,Select DOGE-USDDOGE-USD,Dogecoin USD,0.059336,-0.003090,-4.95%,7.872B,340.676M,340.676M,340.676M,132.671B
11,2022-09-28 11:44:18,Select DOT-USDDOT-USD,Polkadot USD,6.2538,-0.4969,-7.36%,7.012B,326.353M,326.353M,326.353M,1.121B
12,2022-09-28 11:44:18,Select DAI-USDDAI-USD,Dai USD,0.999735,-0.000204,-0.02%,6.908B,347.98M,347.98M,347.98M,6.909B
13,2022-09-28 11:44:18,Select MATIC-USDMATIC-USD,Polygon USD,0.725742,-0.052398,-6.73%,6.339B,460.608M,460.608M,460.608M,8.734B
14,2022-09-28 11:44:18,Select SHIB-USDSHIB-USD,Shiba Inu USD,0.000011,-0.000000,-4.07%,5.992B,277.789M,277.789M,277.789M,549.063T
15,2022-09-28 11:44:18,Select WTRX-USDWTRX-USD,Wrapped TRON USD,0.058686,-0.001747,-2.89%,5.967B,"842,332","842,332","842,332",101.676B
16,2022-09-28 11:44:18,Select HEX-USDHEX-USD,HEX USD,0.032634,-0.000870,-2.60%,5.659B,4.975M,4.975M,4.975M,173.411B
17,2022-09-28 11:44:19,Select TRX-USDTRX-USD,TRON USD,0.058819,-0.001654,-2.74%,5.432B,344.924M,344.924M,344.924M,92.347B
18,2022-09-28 11:44:19,Select AVAX-USDAVAX-USD,Avalanche USD,16.97,-0.99,-5.53%,5.023B,346.915M,346.915M,346.915M,295.902M
19,2022-09-28 11:44:19,Select UNI1-USDUNI1-USD,Uniswap USD,6.2014,-0.1191,-1.88%,4.727B,238.834M,238.834M,238.834M,762.209M
20,2022-09-28 11:44:19,Select WBTC-USDWBTC-USD,Wrapped Bitcoin USD,"18,720.97","-1,387.72",-6.90%,4.591B,166.194M,166.194M,166.194M,"245,206"
21,2022-09-28 11:44:19,Select STETH-USDSTETH-USD,Lido Staked ETH USD,"1,277.48",-95.75,-6.97%,4.456B,11.061M,11.061M,11.061M,3.488M
22,2022-09-28 11:44:20,Select YOUC-USDYOUC-USD,yOUcash USD,0.511381,-0.000017,-0.00%,4.407B,"615,584","615,584","615,584",8.617B
23,2022-09-28 11:44:20,Select LINK-USDLINK-USD,Chainlink USD,8.0636,-0.1233,-1.51%,3.964B,922.332M,922.332M,922.332M,491.6M
24,2022-09-28 11:44:20,Select LEO-USDLEO-USD,UNUS SED LEO USD,4.1561,-0.1951,-4.48%,3.965B,2.872M,2.872M,2.872M,953.954M
25,2022-09-28 11:44:20,Select ATOM-USDATOM-USD,Cosmos USD,13.03,-1.25,-8.73%,3.73B,593.573M,593.573M,593.573M,286.37M
26,2022-09-28 11:44:20,Select ETC-USDETC-USD,Ethereum Classic USD,27.12,-1.91,-6.58%,3.718B,719.471M,719.471M,719.471M,137.093M
27,2022-09-28 11:44:20,Select LTC-USDLTC-USD,Litecoin USD,51.81,-3.21,-5.84%,3.692B,505.406M,505.406M,505.406M,71.265M
28,2022-09-28 11:44:21,Select FTT-USDFTT-USD,FTX Token USD,23.08,-1.84,-7.39%,3.092B,95.452M,95.452M,95.452M,133.975M
29,2022-09-28 11:44:21,Select NEAR-USDNEAR-USD,NEAR Protocol USD,3.5171,-0.2554,-6.77%,2.769B,247.138M,247.138M,247.138M,787.2M
30,2022-09-28 11:44:21,Select XLM-USDXLM-USD,Stellar USD,0.10828,-0.00817,-7.01%,2.758B,173.054M,173.054M,173.054M,25.473B
31,2022-09-28 11:44:21,Select CRO-USDCRO-USD,Cronos USD,0.108794,-0.008519,-7.26%,2.748B,38.733M,38.733M,38.733M,25.263B
32,2022-09-28 11:44:21,Select XMR-USDXMR-USD,Monero USD,142.06,-9.31,-6.15%,2.583B,96.705M,96.705M,96.705M,18.18M
33,2022-09-28 11:44:22,Select ALGO-USDALGO-USD,Algorand USD,0.339686,-0.033024,-8.86%,2.354B,207.584M,207.584M,207.584M,6.931B
34,2022-09-28 11:44:22,Select BCH-USDBCH-USD,Bitcoin Cash USD,111.67,-7.08,-5.96%,2.142B,285.26M,285.26M,285.26M,19.186M
35,2022-09-28 11:44:22,Select BTCB-USDBTCB-USD,Bitcoin BEP2 USD,"18,731.14","-1,299.95",-6.49%,1.974B,9.957M,9.957M,9.957M,"105,361"
36,2022-09-28 11:44:22,Select QNT-USDQNT-USD,Quant USD,140.62,+15.11,+12.04%,1.698B,193.591M,193.591M,193.591M,12.073M
