,date_scraped,symbol,name,price,change,change_perc,market_cap,vol_utc,vol_24,total_vol,circ_supply
0,2022-11-09 10:35:33,BTC-USD,Bitcoin USD,"18,357.73","-2,303.30",-11.15%,352.51B,122.011B,122.011B,122.011B,19.202M
1,2022-11-09 10:35:34,ETH-USD,Ethereum USD,"1,322.22",-251.44,-15.98%,161.805B,43.333B,43.333B,43.333B,122.374M
2,2022-11-09 10:35:34,USDT-USD,Tether USD,0.999895,-0.000241,-0.02%,69.517B,167.48B,167.48B,167.48B,69.524B
3,2022-11-09 10:35:34,BNB-USD,BNB USD,325.93,-17.76,-5.17%,52.14B,5.562B,5.562B,5.562B,159.976M
4,2022-11-09 10:35:34,USDC-USD,USD Coin USD,1.0000,-0.0001,-0.01%,42.75B,10.052B,10.052B,10.052B,42.749B
5,2022-11-09 10:35:34,BUSD-USD,Binance USD USD,1.0006,+0.0003,+0.03%,22.955B,21.916B,21.916B,21.916B,22.942B
6,2022-11-09 10:35:35,XRP-USD,XRP USD,0.394098,-0.070326,-15.14%,19.79B,4.157B,4.157B,4.157B,50.215B
7,2022-11-09 10:35:35,ADA-USD,Cardano USD,0.367354,-0.037704,-9.31%,12.617B,1.477B,1.477B,1.477B,34.345B
8,2022-11-09 10:35:35,DOGE-USD,Dogecoin USD,0.086898,-0.024985,-22.33%,11.529B,3.654B,3.654B,3.654B,132.671B
9,2022-11-09 10:35:35,MATIC-USD,Polygon USD,1.0029,-0.2142,-17.60%,8.76B,2.468B,2.468B,2.468B,8.734B
10,2022-11-09 10:35:36,SOL-USD,Solana USD,23.19,-6.07,-20.75%,8.389B,6.15B,6.15B,6.15B,361.732M
11,2022-11-09 10:35:36,DOT-USD,Polkadot USD,6.2741,-0.8347,-11.74%,7.148B,906.906M,906.906M,906.906M,1.139B
12,2022-11-09 10:35:36,DAI-USD,Dai USD,0.998894,-0.001165,-0.12%,6.193B,686.993M,686.993M,686.993M,6.2B
13,2022-11-09 10:35:36,WTRX-USD,Wrapped TRON USD,0.058853,-0.003678,-5.88%,5.984B,5.778M,5.778M,5.778M,101.676B
14,2022-11-09 10:35:37,SHIB-USD,Shiba Inu USD,0.0000,-0.0000,-14.5369%,5.538B,770.42M,770.42M,770.42M,549.063T
15,2022-11-09 10:35:37,HEX-USD,HEX USD,0.0313,-0.0019,-5.8340%,5.431B,10.766M,10.766M,10.766M,173.411B
16,2022-11-09 10:35:38,TRX-USD,TRON USD,0.0588,-0.0039,-6.2342%,5.420B,999.176M,999.176M,999.176M,92.226B
17,2022-11-09 10:35:38,UNI7083-USD,Uniswap USD,6.12,-0.90,-12.82%,4.666B,406.532M,406.532M,406.532M,762.209M
18,2022-11-09 10:35:38,AVAX-USD,Avalanche USD,15.57,-2.35,-13.12%,4.665B,889.374M,889.374M,889.374M,299.628M
19,2022-11-09 10:35:39,STETH-USD,Lido Staked ETH USD,"1,303.78",-260.64,-16.66%,4.547B,11.459M,11.459M,11.459M,3.488M
20,2022-11-09 10:35:39,WBTC-USD,Wrapped Bitcoin USD,"18,311.57","-2,316.87",-11.23%,4.495B,366.184M,366.184M,366.184M,"245,479"
21,2022-11-09 10:35:39,LTC-USD,Litecoin USD,59.19,-8.75,-12.89%,4.236B,1.961B,1.961B,1.961B,71.57M
22,2022-11-09 10:35:39,LEO-USD,UNUS SED LEO USD,4.1964,-0.0025,-0.0593%,4.003B,2.882M,2.882M,2.882M,953.954M
23,2022-11-09 10:35:40,LINK-USD,Chainlink USD,7.50,-1.64,-17.90%,3.689B,2.023B,2.023B,2.023B,491.6M
24,2022-11-09 10:35:40,ATOM-USD,Cosmos USD,12.05,-2.31,-16.11%,3.451B,621.078M,621.078M,621.078M,286.37M
25,2022-11-09 10:35:40,ETC-USD,Ethereum Classic USD,21.72,-3.47,-13.78%,2.993B,800.29M,800.29M,800.29M,137.805M
26,2022-11-09 10:35:40,CRO-USD,Cronos USD,0.1017,-0.0237,-18.8713%,2.569B,122.485M,122.485M,122.485M,25.263B
27,2022-11-09 10:35:41,XLM-USD,Stellar USD,0.0975,-0.0128,-11.5721%,2.501B,330.475M,330.475M,330.475M,25.652B
28,2022-11-09 10:35:41,XMR-USD,Monero USD,137.15,-19.72,-12.57%,2.496B,164.073M,164.073M,164.073M,18.198M
29,2022-11-09 10:35:41,ALGO-USD,Algorand USD,0.3233,-0.0891,-21.6014%,2.294B,747.306M,747.306M,747.306M,7.094B
30,2022-11-09 10:35:41,NEAR-USD,NEAR Protocol USD,2.5706,-0.4868,-15.9219%,2.109B,434.252M,434.252M,434.252M,820.561M
31,2022-11-09 10:35:42,BCH-USD,Bitcoin Cash USD,102.29,-16.21,-13.68%,1.966B,774.428M,774.428M,774.428M,19.224M
32,2022-11-09 10:35:42,BTCB-USD,Bitcoin BEP2 USD,"18,281.21","-2,365.12",-11.46%,1.925B,61.715M,61.715M,61.715M,"105,287"
33,2022-11-09 10:35:42,TON11419-USD,Toncoin USD,1.5786,-0.1913,-10.8076%,1.928B,16.692M,16.692M,16.692M,1.221B
34,2022-11-09 10:35:43,QNT-USD,Quant USD,144.28,-10.67,-6.89%,1.742B,170.531M,170.531M,170.531M,12.073M
35,2022-11-09 10:35:43,VET-USD,VeChain USD,0.0234,-0.0046,-16.3576%,1.698B,261.439M,261.439M,261.439M,72.511B
36,2022-11-09 10:35:43,FIL-USD,Filecoin USD,4.7446,-1.0416,-18.0015%,1.503B,426.772M,426.772M,426.772M,316.774M
37,2022-11-09 10:35:43,FLOW-USD,Flow USD,1.4221,-0.2967,-17.2603%,1.474B,106.148M,106.148M,106.148M,1.036B
38,2022-11-09 10:35:44,CHZ-USD,Chiliz USD,0.2096,-0.0671,-24.2635%,1.259B,1.722B,1.722B,1.722B,6.007B
39,2022-11-09 10:35:44,OKB-USD,OKB USD,20.61,-2.20,-9.63%,1.237B,54.06M,54.06M,54.06M,60M
40,2022-11-09 10:35:44,LUNC-USD,Terra Classic USD,0.0002,-0.0001,-21.5100%,1.224B,466.004M,466.004M,466.004M,6.593T
41,2022-11-09 10:35:44,FRAX-USD,Frax USD,0.9810,-0.0121,-1.2188%,1.201B,7.887M,7.887M,7.887M,1.224B
42,2022-11-09 10:35:45,WBNB-USD,Wrapped BNB USD,324.37,-18.18,-5.31%,1.192B,639.468M,639.468M,639.468M,3.674M
43,2022-11-09 10:35:45,APE18876-USD,ApeCoin USD,3.8242,-0.7986,-17.2761%,1.174B,467.121M,467.121M,467.121M,306.875M
44,2022-11-09 10:35:45,HBAR-USD,Hedera USD,0.0509,-0.0085,-14.3296%,1.169B,121.173M,121.173M,121.173M,22.968B
45,2022-11-09 10:35:45,ICP-USD,Internet Computer USD,4.2994,-0.9435,-17.9956%,1.157B,112.475M,112.475M,112.475M,269.037M
46,2022-11-09 10:35:46,EGLD-USD,Elrond USD,47.86,-6.39,-11.78%,1.133B,101.051M,101.051M,101.051M,23.665M
47,2022-11-09 10:35:46,XTZ-USD,Tezos USD,1.1543,-0.2228,-16.1802%,1.057B,80.698M,80.698M,80.698M,915.586M
48,2022-11-09 10:35:46,SAND-USD,The Sandbox USD,0.6978,-0.1632,-18.9520%,1.046B,577.187M,577.187M,577.187M,1.499B
49,2022-11-09 10:35:47,MANA-USD,Decentraland USD,0.5531,-0.1302,-19.0583%,1.026B,329.054M,329.054M,329.054M,1.855B
50,2022-11-09 10:35:47,THETA-USD,Theta Network USD,1.0136,-0.2105,-17.1972%,1.014B,86.934M,86.934M,86.934M,1B
51,2022-11-09 10:35:47,HT-USD,Huobi Token USD,6.62,-1.22,-15.52%,1.016B,72.685M,72.685M,72.685M,153.358M
52,2022-11-09 10:35:47,AAVE-USD,Aave USD,71.31,-16.63,-18.91%,1.005B,313.327M,313.327M,313.327M,14.093M
53,2022-11-09 10:35:48,EOS-USD,EOS USD,0.9534,-0.1983,-17.2201%,958.506M,699.268M,699.268M,699.268M,1.005B
54,2022-11-09 10:35:48,USDP-USD,Pax Dollar USD,0.9975,+0.0001,+0.0080%,943.241M,18.059M,18.059M,18.059M,945.643M
55,2022-11-09 10:35:48,XCN18679-USD,Chain USD,0.0431,-0.0073,-14.5399%,925.935M,23.93M,23.93M,23.93M,21.473B
56,2022-11-09 10:35:49,KCS-USD,KuCoin Token USD,9.13,-0.89,-8.86%,897.790M,9.037M,9.037M,9.037M,98.38M
57,2022-11-09 10:35:49,GUSD-USD,Gemini Dollar USD,0.9994,-0.0052,-0.5209%,837.053M,2.693M,2.693M,2.693M,837.584M
58,2022-11-09 10:35:49,TUSD-USD,TrueUSD USD,0.9989,-0.0010,-0.1016%,813.255M,77.975M,77.975M,77.975M,814.187M
59,2022-11-09 10:35:50,BTTOLD-USD,BitTorrent USD,0.0008,-0.0000,-4.5548%,805.652M,"178,738","178,738","178,738",990B
60,2022-11-09 10:35:50,BSV-USD,Bitcoin SV USD,41.74,-5.80,-12.19%,802.172M,192.533M,192.533M,192.533M,19.219M
61,2022-11-09 10:35:50,FTT-USD,FTX Token USD,5.35,-16.66,-75.70%,711.653M,3.46B,3.46B,3.46B,133.026M
62,2022-11-09 10:35:50,AXS-USD,Axie Infinity USD,7.76,-2.40,-23.64%,744.153M,223.742M,223.742M,223.742M,95.879M
63,2022-11-09 10:35:51,BIT11221-USD,BitDAO USD,0.3466,-0.0557,-13.8549%,724.783M,98.038M,98.038M,98.038M,2.091B
64,2022-11-09 10:35:51,USDD-USD,USDD USD,0.9917,-0.0055,-0.5551%,719.278M,93.469M,93.469M,93.469M,725.332M
65,2022-11-09 10:35:51,HBTC-USD,Huobi BTC USD,"18,307.94","-2,319.52",-11.24%,713.451M,1.349M,1.349M,1.349M,"38,969"
66,2022-11-09 10:35:52,MKR-USD,Maker USD,707.93,-125.42,-15.05%,692.094M,78.801M,78.801M,78.801M,"977,631"
67,2022-11-09 10:35:52,BTT-USD,BitTorrent-New USD,0.0000,-0.0000,-10.4546%,675.927M,34.056M,34.056M,34.056M,945.326T
68,2022-11-09 10:35:52,APT21794-USD,Aptos USD,5.15,-1.77,-25.53%,670.103M,640.548M,640.548M,640.548M,130M
69,2022-11-09 10:35:53,CAKE-USD,PancakeSwap USD,4.5685,-0.2723,-5.6253%,658.665M,184.937M,184.937M,184.937M,144.174M
70,2022-11-09 10:35:53,ZEC-USD,Zcash USD,41.99,-9.62,-18.65%,657.614M,109.65M,109.65M,109.65M,15.66M
71,2022-11-09 10:35:53,USDN-USD,Neutrino USD USD,0.9575,-0.0180,-1.8421%,651.350M,4.385M,4.385M,4.385M,680.266M
72,2022-11-09 10:35:54,XEC-USD,eCash USD,0.0000,-0.0000,-11.6857%,643.990M,31.83M,31.83M,31.83M,19.22T
73,2022-11-09 10:35:54,CCXX-USD,Counos X USD,35.97,+17.35,+93.22%,644.554M,"574,742","574,742","574,742",17.919M
74,2022-11-09 10:35:54,SNX-USD,Synthetix USD,2.1023,-0.5516,-20.7848%,640.699M,125.43M,125.43M,125.43M,304.759M
75,2022-11-09 10:35:55,MIOTA-USD,IOTA USD,0.2294,-0.0376,-14.0880%,637.520M,37.966M,37.966M,37.966M,2.78B
76,2022-11-09 10:35:55,KLAY-USD,Klaytn USD,0.1880,-0.0335,-15.1088%,566.357M,113.18M,113.18M,113.18M,3.013B
77,2022-11-09 10:35:55,PAXG-USD,PAX Gold USD,"1,699.29",+33.03,+1.98%,552.626M,52.175M,52.175M,52.175M,"325,209"
78,2022-11-09 10:35:55,FTM-USD,Fantom USD,0.2121,-0.0562,-20.9429%,539.824M,286.854M,286.854M,286.854M,2.545B
79,2022-11-09 10:35:56,GRT6719-USD,The Graph USD,0.0760,-0.0154,-16.8668%,524.141M,96.37M,96.37M,96.37M,6.9B
80,2022-11-09 10:35:56,NEXO-USD,Nexo USD,0.9272,-0.0770,-7.6688%,519.236M,18.666M,18.666M,18.666M,560M
81,2022-11-09 10:35:56,NEO-USD,Neo USD,7.33,-1.36,-15.62%,517.111M,81.894M,81.894M,81.894M,70.539M
82,2022-11-09 10:35:57,WEMIX-USD,WEMIX USD,1.6066,-0.1691,-9.5218%,511.578M,174.121M,174.121M,174.121M,318.422M
83,2022-11-09 10:35:57,ETHW-USD,EthereumPoW USD,4.5354,-1.4680,-24.4531%,485.709M,142.975M,142.975M,142.975M,107.094M
84,2022-11-09 10:35:57,TWT-USD,Trust Wallet Token USD,1.1577,-0.0224,-1.8999%,482.341M,40.36M,40.36M,40.36M,416.65M
85,2022-11-09 10:35:58,MINA-USD,Mina USD,0.6263,-0.0885,-12.3832%,460.369M,54.866M,54.866M,54.866M,735.076M
86,2022-11-09 10:35:58,GT-USD,GateToken USD,4.2661,-0.4273,-9.1038%,461.873M,3.723M,3.723M,3.723M,108.265M
87,2022-11-09 10:35:58,RUNE-USD,THORChain USD,1.3376,-0.2989,-18.2641%,442.327M,118.012M,118.012M,118.012M,330.688M
88,2022-11-09 10:35:59,VIDT-USD,VIDT DAO USD,0.5547,+0.0358,+6.8950%,427.121M,"30,281","30,281","30,281",770.011M
89,2022-11-09 10:35:59,FEI-USD,Fei USD USD,0.9905,-0.0042,-0.4269%,420.952M,2.952M,2.952M,2.952M,424.996M
90,2022-11-09 10:35:59,XAUT-USD,Tether Gold USD,"1,702.92",+31.99,+1.91%,419.810M,1.112M,1.112M,1.112M,"246,524"
91,2022-11-09 10:36:00,CSPR-USD,Casper USD,0.0398,+0.0002,+0.6173%,417.753M,26.907M,26.907M,26.907M,10.492B
92,2022-11-09 10:36:00,DASH-USD,Dash USD,37.66,-8.82,-18.98%,414.113M,137.282M,137.282M,137.282M,10.996M
93,2022-11-09 10:36:01,BAT-USD,Basic Attention Token USD,0.2765,-0.0495,-15.1844%,413.603M,102.905M,102.905M,102.905M,1.496B
94,2022-11-09 10:36:01,BNX-USD,BinaryX USD,147.87,+2.28,+1.57%,412.080M,25.928M,25.928M,25.928M,2.787M
95,2022-11-09 10:36:01,HNT-USD,Helium USD,3.1280,-0.8000,-20.3676%,407.304M,15.107M,15.107M,15.107M,130.213M
96,2022-11-09 10:36:02,CRV-USD,Curve DAO Token USD,0.7599,-0.2538,-25.0378%,403.926M,194.733M,194.733M,194.733M,531.583M
97,2022-11-09 10:36:02,LDO-USD,Lido DAO USD,1.2807,-0.3815,-22.9495%,400.807M,100.037M,100.037M,100.037M,312.951M
98,2022-11-09 10:36:02,ENJ-USD,Enjin Coin USD,0.3928,-0.0794,-16.8171%,392.808M,89.979M,89.979M,89.979M,1B
99,2022-11-09 10:36:03,OSMO-USD,Osmosis USD,1.3318,-0.2166,-13.9907%,376.177M,51.61M,51.61M,51.61M,282.464M
100,2022-11-09 10:36:06,AR-USD,Arweave USD,11.16,-2.46,-18.08%,372.624M,105.168M,105.168M,105.168M,33.395M
101,2022-11-09 10:36:07,STX4847-USD,Stacks USD,0.269628,-0.049061,-15.39%,362.142M,15.569M,15.569M,15.569M,1.343B
102,2022-11-09 10:36:08,ZIL-USD,Zilliqa USD,0.026455,-0.005797,-17.97%,357.434M,126.404M,126.404M,126.404M,13.511B
103,2022-11-09 10:36:08,KAVA-USD,Kava USD,1.1198,-0.2424,-17.80%,355.295M,39.324M,39.324M,39.324M,317.283M
104,2022-11-09 10:36:09,XDC-USD,XDC Network USD,0.028480,-0.002048,-6.71%,350.444M,4.163M,4.163M,4.163M,12.305B
105,2022-11-09 10:36:09,IMX10603-USD,ImmutableX USD,0.512832,-0.085896,-14.35%,348.441M,58.806M,58.806M,58.806M,679.444M
106,2022-11-09 10:36:09,LRC-USD,Loopring USD,0.256980,-0.072460,-21.99%,341.818M,132.789M,132.789M,132.789M,1.33B
107,2022-11-09 10:36:10,1INCH-USD,1inch Network USD,0.545671,-0.087185,-13.78%,339.245M,81.165M,81.165M,81.165M,621.701M
108,2022-11-09 10:36:10,DCR-USD,Decred USD,23.22,-3.75,-13.92%,336.529M,4.487M,4.487M,4.487M,14.491M
109,2022-11-09 10:36:10,MV-USD,GensoKishi Metaverse USD,0.197238,-0.019067,-8.82%,337.142M,"430,057","430,057","430,057",1.709B
110,2022-11-09 10:36:11,XEM-USD,NEM USD,0.034558,-0.004860,-12.33%,311.02M,14.257M,14.257M,14.257M,9B
111,2022-11-09 10:36:11,HOT2682-USD,Holo USD,0.001780,-0.000320,-15.22%,308.632M,43.058M,43.058M,43.058M,173.343B
112,2022-11-09 10:36:12,CVX-USD,Convex Finance USD,4.3759,-0.8843,-16.81%,307.254M,21.818M,21.818M,21.818M,70.214M
113,2022-11-09 10:36:12,COMP5692-USD,Compound USD,41.68,-9.22,-18.12%,302.872M,79.119M,79.119M,79.119M,7.267M
114,2022-11-09 10:36:12,GMT18069-USD,STEPN USD,0.500997,-0.073538,-12.80%,300.598M,485.073M,485.073M,485.073M,600M
115,2022-11-09 10:36:13,RVN-USD,Ravencoin USD,0.025056,-0.005153,-17.06%,297.241M,42.132M,42.132M,42.132M,11.863B
116,2022-11-09 10:36:13,WAVES-USD,Waves USD,2.6649,-0.7112,-21.07%,292.623M,257.131M,257.131M,257.131M,109.806M
